GeneID	GeneName	seed	spikelet	stem
SORBI_3001G013200	SORBI_3001G013200	17	34	34
SORBI_3001G013300	SORBI_3001G013300	19	16	27
SORBI_3001G013400	SORBI_3001G013400	5	13	9
SORBI_3001G013500	SORBI_3001G013500	41	77	95
SORBI_3001G013600	SORBI_3001G013600	6	16	9
SORBI_3001G013800	SORBI_3001G013800	37	19	8
SORBI_3001G013900	SORBI_3001G013900	1	2	4
SORBI_3001G014000	SORBI_3001G014000	8	4	16
SORBI_3001G014100	SORBI_3001G014100	13	15	25
SORBI_3001G014200	SORBI_3001G014200	32	95	63
SORBI_3001G014300	SORBI_3001G014300	12	34	33
SORBI_3001G014500	SORBI_3001G014500	27	39	52
SORBI_3001G014800	SORBI_3001G014800	65	110	149
SORBI_3001G014900	SORBI_3001G014900	13	9	10
SORBI_3001G015000	SORBI_3001G015000	2	3	0.5
SORBI_3001G015100	SORBI_3001G015100	14	50	31
SORBI_3001G015200	SORBI_3001G015200	4	8	9
SORBI_3001G015300	SORBI_3001G015300			0.7
SORBI_3001G015400	SORBI_3001G015400	20	31	46
SORBI_3001G015500	SORBI_3001G015500	9	8	12
SORBI_3001G015600	SORBI_3001G015600		27	
SORBI_3001G015700	SORBI_3001G015700	25	21	32
SORBI_3001G015800	SORBI_3001G015800	26	19	39
SORBI_3001G016000	SORBI_3001G016000	15	20	25
SORBI_3001G016100	SORBI_3001G016100	0.5	2	1
SORBI_3001G016200	SORBI_3001G016200	8	7	6
SORBI_3001G016201	SORBI_3001G016201		0.5	
SORBI_3001G016400	SORBI_3001G016400	84	110	141
SORBI_3001G016500	SORBI_3001G016500	64	104	155
SORBI_3001G016600	SORBI_3001G016600	9	14	22
SORBI_3001G016700	SORBI_3001G016700	14	14	22
SORBI_3001G016800	SORBI_3001G016800	2	5	3
SORBI_3001G016900	SORBI_3001G016900	56	64	98
SORBI_3001G017000	SORBI_3001G017000	0.8	3	1
SORBI_3001G017100	SORBI_3001G017100	64	110	148
SORBI_3001G017200	SORBI_3001G017200	111	108	125
SORBI_3001G017300	SORBI_3001G017300	4	7	8
SORBI_3001G017400	SORBI_3001G017400	1	1	10
SORBI_3001G017500	SORBI_3001G017500	25		
SORBI_3001G017600	SORBI_3001G017600	11	11	25
SORBI_3001G017700	SORBI_3001G017700	13	18	28
SORBI_3001G017800	SORBI_3001G017800	12	12	16
SORBI_3001G017900	SORBI_3001G017900	10	15	27
SORBI_3001G018000	SORBI_3001G018000	2	5	3
SORBI_3001G018100	SORBI_3001G018100	17	18	17
SORBI_3001G018200	SORBI_3001G018200	7	10	11
SORBI_3001G018500	SORBI_3001G018500	60	190	109
SORBI_3001G018550	SORBI_3001G018550	0.7	1	2
SORBI_3001G018800	SORBI_3001G018800	316	441	621
SORBI_3001G018900	SORBI_3001G018900	284	504	724
SORBI_3001G019100	SORBI_3001G019100			0.8
SORBI_3001G019200	SORBI_3001G019200	5	6	14
SORBI_3001G019300	SORBI_3001G019300	5	22	17
SORBI_3001G019400	SORBI_3001G019400	4	12	16
SORBI_3001G019500	SORBI_3001G019500	0.6	1	1
SORBI_3001G019601	SORBI_3001G019601	3	8	9
SORBI_3001G019700	SORBI_3001G019700	1	0.7	0.7
SORBI_3001G019800	SORBI_3001G019800	14	19	24
SORBI_3001G019900	SORBI_3001G019900	31	51	67
SORBI_3001G020000	SORBI_3001G020000	33	39	47
SORBI_3001G020100	SORBI_3001G020100	13	27	28
SORBI_3001G020200	SORBI_3001G020200	0.9		0.8
SORBI_3001G020350	SORBI_3001G020350		9	3
SORBI_3001G020500	SORBI_3001G020500	1	3	4
SORBI_3001G020600	SORBI_3001G020600	3	10	10
SORBI_3001G020700	SORBI_3001G020700		3	
SORBI_3001G021000	SORBI_3001G021000	54	51	51
SORBI_3001G021200	SORBI_3001G021200		1	
SORBI_3001G021300	SORBI_3001G021300	11	13	21
SORBI_3001G021400	SORBI_3001G021400	0.6	0.9	0.6
SORBI_3001G021500	SORBI_3001G021500	97	96	180
SORBI_3001G021601	SORBI_3001G021601	2		0.5
SORBI_3001G021700	SORBI_3001G021700	4	8	16
SORBI_3001G021800	SORBI_3001G021800	5	8	8
SORBI_3001G021900	SORBI_3001G021900		0.5	
SORBI_3001G022000	SORBI_3001G022000	11	10	5
SORBI_3001G022100	SORBI_3001G022100	16	16	21
SORBI_3001G022200	SORBI_3001G022200			0.8
SORBI_3001G022300	SORBI_3001G022300	18	31	19
SORBI_3001G022400	SORBI_3001G022400	1	5	18
SORBI_3001G022500	SORBI_3001G022500	46	45	71
SORBI_3001G022600	SORBI_3001G022600	41	61	160
SORBI_3001G022700	SORBI_3001G022700			0.6
SORBI_3001G022800	SORBI_3001G022800	21	52	121
SORBI_3001G022900	SORBI_3001G022900	174	149	183
SORBI_3001G023000	SORBI_3001G023000	25	32	46
SORBI_3001G023100	SORBI_3001G023100	58	74	101
SORBI_3001G023200	SORBI_3001G023200	24	37	50
SORBI_3001G023300	SORBI_3001G023300	22	50	146
SORBI_3001G023400	SORBI_3001G023400	3	4	8
SORBI_3001G023500	SORBI_3001G023500	5	10	13
SORBI_3001G023600	SORBI_3001G023600	3	12	6
SORBI_3001G023700	SORBI_3001G023700		0.5	
SORBI_3001G023800	SORBI_3001G023800	14	13	18
SORBI_3001G023900	SORBI_3001G023900	24	31	48
SORBI_3001G024000	SORBI_3001G024000	28	40	70
SORBI_3001G024100	SORBI_3001G024100		5	
SORBI_3001G024200	SORBI_3001G024200	10	20	23
SORBI_3001G024250	SORBI_3001G024250	3	226	
SORBI_3001G024300	SORBI_3001G024300		176	
SORBI_3001G024400	SORBI_3001G024400	2	143	
SORBI_3001G024500	SORBI_3001G024500		2	7
SORBI_3001G024700	SORBI_3001G024700	0.5	220	
SORBI_3001G024800	SORBI_3001G024800		162	
SORBI_3001G024900	SORBI_3001G024900		193	
SORBI_3001G025000	SORBI_3001G025000	35	33	46
SORBI_3001G025101	SORBI_3001G025101	2	4	1
SORBI_3001G025300	SORBI_3001G025300	8	11	9
SORBI_3001G025400	SORBI_3001G025400	27	61	47
SORBI_3001G025500	SORBI_3001G025500	53	72	12
SORBI_3001G025600	SORBI_3001G025600	51	111	113
SORBI_3001G025700	SORBI_3001G025700	24	37	16
SORBI_3001G025800	SORBI_3001G025800	4	8	7
SORBI_3001G025900	SORBI_3001G025900	1	2	1
SORBI_3001G026000	SORBI_3001G026000	38	38	45
SORBI_3001G026200	SORBI_3001G026200	25	22	31
SORBI_3001G026400	SORBI_3001G026400	4	7	12
SORBI_3001G026500	SORBI_3001G026500	40	56	94
SORBI_3001G026600	SORBI_3001G026600	31	67	93
SORBI_3001G026700	SORBI_3001G026700	0.8	5	6
SORBI_3001G026800	SORBI_3001G026800	16	24	50
SORBI_3001G026900	SORBI_3001G026900	57	51	43
SORBI_3001G027100	FEN1-B	13	16	18
SORBI_3001G027200	SORBI_3001G027200	0.7	3	
SORBI_3001G027300	SORBI_3001G027300	2	4	2
SORBI_3001G027400	SORBI_3001G027400	2	7	6
SORBI_3001G027500	SORBI_3001G027500	4	7	12
SORBI_3001G027600	SORBI_3001G027600	18	102	137
SORBI_3001G027700	SORBI_3001G027700	0.7	3	2
