GeneID	GeneName	seed	spikelet	stem
SORBI_3002G272800	SORBI_3002G272800	21	39	44
SORBI_3002G272900	SORBI_3002G272900	20	39	55
SORBI_3002G273000	SORBI_3002G273000	16	1	2
SORBI_3002G273100	SORBI_3002G273100	3	4	5
SORBI_3002G273200	SORBI_3002G273200		114	
SORBI_3002G273300	SORBI_3002G273300	29	47	37
SORBI_3002G273500	SORBI_3002G273500	3	6	4
SORBI_3002G273600	SORBI_3002G273600	12	6	6
SORBI_3002G273700	SORBI_3002G273700	7	8	11
SORBI_3002G273800	SORBI_3002G273800	2	1	6
SORBI_3002G273900	SORBI_3002G273900	76	162	168
SORBI_3002G274000	SORBI_3002G274000	4	7	9
SORBI_3002G274100	SORBI_3002G274100	3	2	1
SORBI_3002G274200	SORBI_3002G274200	12	32	28
SORBI_3002G274500	SORBI_3002G274500	0.5	2	0.6
SORBI_3002G274700	SORBI_3002G274700	83	70	40
SORBI_3002G274800	SORBI_3002G274800	16	11	22
SORBI_3002G274900	SORBI_3002G274900	121	1	
SORBI_3002G275100	SORBI_3002G275100	32	89	139
SORBI_3002G275200	SORBI_3002G275200	7	8	12
SORBI_3002G275300	SORBI_3002G275300	10	20	21
SORBI_3002G275500	SORBI_3002G275500	2	5	9
SORBI_3002G275600	SORBI_3002G275600	8	13	18
SORBI_3002G275700	SORBI_3002G275700	39	64	60
SORBI_3002G275800	SORBI_3002G275800		4	0.7
SORBI_3002G275900	SORBI_3002G275900	21	34	63
SORBI_3002G276000	SORBI_3002G276000	22	79	115
SORBI_3002G276100	SORBI_3002G276100	48	131	157
SORBI_3002G276400	SORBI_3002G276400	7	14	12
SORBI_3002G276500	SORBI_3002G276500		0.8	
SORBI_3002G276600	SORBI_3002G276600	45	175	162
SORBI_3002G276700	SORBI_3002G276700	8	14	11
SORBI_3002G276800	SORBI_3002G276800	76	183	89
SORBI_3002G276900	SORBI_3002G276900	206	107	116
SORBI_3002G277100	SORBI_3002G277100	83	471	302
SORBI_3002G277200	SORBI_3002G277200	18	17	21
SORBI_3002G277300	SORBI_3002G277300	63	76	79
SORBI_3002G277600	SORBI_3002G277600	44	47	78
SORBI_3002G277900	SORBI_3002G277900	10	65	49
SORBI_3002G278000	SORBI_3002G278000	6	8	10
SORBI_3002G278100	SORBI_3002G278100	7	61	7
SORBI_3002G278200	SORBI_3002G278200		0.5	
SORBI_3002G278300	SORBI_3002G278300		1	5
SORBI_3002G278500	SORBI_3002G278500	3	8	54
SORBI_3002G278600	SORBI_3002G278600	106	118	125
SORBI_3002G278700	SORBI_3002G278700		830	2
SORBI_3002G278800	SORBI_3002G278800		450	21
SORBI_3002G278900	SORBI_3002G278900		1	
SORBI_3002G279000	SORBI_3002G279000	112	108	104
SORBI_3002G279100	SORBI_3002G279100	9	36	38
SORBI_3002G279300	SORBI_3002G279300	1	3	7
SORBI_3002G279400	SORBI_3002G279400	13	17	10
SORBI_3002G279500	SORBI_3002G279500	30	53	56
SORBI_3002G279600	SORBI_3002G279600	3	8	12
SORBI_3002G279700	SORBI_3002G279700	90	105	131
SORBI_3002G279800	SORBI_3002G279800	10	8	11
SORBI_3002G279900	SORBI_3002G279900	6	302	4
SORBI_3002G280001	SORBI_3002G280001	1	1	0.7
SORBI_3002G280100	SORBI_3002G280100	16	21	15
SORBI_3002G280200	SORBI_3002G280200	197	162	175
SORBI_3002G280400	SORBI_3002G280400	298	287	318
SORBI_3002G280500	SORBI_3002G280500	1	0.6	30
SORBI_3002G280600	SORBI_3002G280600	6	7	9
SORBI_3002G280700	SORBI_3002G280700	6	8	11
SORBI_3002G280800	SORBI_3002G280800		0.7	15
SORBI_3002G280900	SORBI_3002G280900	24	20	21
SORBI_3002G280950	SORBI_3002G280950		2	
SORBI_3002G281000	SORBI_3002G281000	8	136	81
SORBI_3002G281100	SORBI_3002G281100		1	2
SORBI_3002G281200	SORBI_3002G281200	14	12	7
SORBI_3002G281300	SORBI_3002G281300	54	91	100
SORBI_3002G281400	SORBI_3002G281400	9	13	11
SORBI_3002G281500	SORBI_3002G281500	29	15	17
SORBI_3002G281600	SORBI_3002G281600	6	26	27
SORBI_3002G281700	SORBI_3002G281700	19	118	160
SORBI_3002G281800	SORBI_3002G281800	62	196	169
SORBI_3002G281900	SORBI_3002G281900	0.6	1	5
SORBI_3002G282000	SORBI_3002G282000	1	8	3
SORBI_3002G282100	SORBI_3002G282100	1	1	4
SORBI_3002G282200	SORBI_3002G282200	1	2	3
SORBI_3002G282300	SORBI_3002G282300	3	20	38
SORBI_3002G282400	SORBI_3002G282400	63	70	99
SORBI_3002G282500	SORBI_3002G282500	20	61	26
SORBI_3002G282600	SORBI_3002G282600		8	
SORBI_3002G282900	SORBI_3002G282900	5		0.7
SORBI_3002G283000	SORBI_3002G283000		13	
SORBI_3002G283100	SORBI_3002G283100	2	2	2
SORBI_3002G283200	SORBI_3002G283200		34	
SORBI_3002G283300	SORBI_3002G283300	15	27	31
SORBI_3002G283400	SORBI_3002G283400	5	8	11
SORBI_3002G283500	SORBI_3002G283500	0.7	0.9	4
SORBI_3002G283600	SORBI_3002G283600	14	12	18
SORBI_3002G283800	SORBI_3002G283800	1	3	4
SORBI_3002G283900	SORBI_3002G283900		2	2
SORBI_3002G284100	SORBI_3002G284100	21	14	23
SORBI_3002G284200	SORBI_3002G284200	7	17	14
SORBI_3002G284300	SORBI_3002G284300		0.7	
SORBI_3002G284400	SORBI_3002G284400	0.8	0.8	1
SORBI_3002G284500	SORBI_3002G284500		10	
SORBI_3002G284600	SORBI_3002G284600	0.5	0.8	26
SORBI_3002G284701	SORBI_3002G284701	2	1	1
SORBI_3002G284800	SORBI_3002G284800	1	3	4
SORBI_3002G284901	SORBI_3002G284901		3	0.9
SORBI_3002G285001	SORBI_3002G285001		3	
SORBI_3002G285300	SORBI_3002G285300		0.8	1
SORBI_3002G285450	SORBI_3002G285450		2	9
SORBI_3002G285525	SORBI_3002G285525		2	1
SORBI_3002G285600	SORBI_3002G285600		8	2
SORBI_3002G285700	SORBI_3002G285700	3	9	12
SORBI_3002G285800	SORBI_3002G285800	0.5	2	4
SORBI_3002G285950	SORBI_3002G285950		1	1
SORBI_3002G286100	SORBI_3002G286100	15	7	24
SORBI_3002G286200	SORBI_3002G286200	38	22	45
SORBI_3002G286300	SORBI_3002G286300	3	4	10
SORBI_3002G286400	SORBI_3002G286400	0.8	11	29
SORBI_3002G286632	SORBI_3002G286632	10	32	7
SORBI_3002G286700	SORBI_3002G286700	5	4	21
SORBI_3002G286800	SORBI_3002G286800	61	6	3
SORBI_3002G286900	SORBI_3002G286900	234	319	388
SORBI_3002G287000	SORBI_3002G287000			2
SORBI_3002G287400	SORBI_3002G287400	4	8	26
SORBI_3002G287500	SORBI_3002G287500	2	2	2
SORBI_3002G287600	SORBI_3002G287600	1	2	2
SORBI_3002G287750	SORBI_3002G287750	1	3	4
SORBI_3002G287900	SORBI_3002G287900	2	2	6
SORBI_3002G288000	SORBI_3002G288000	17	23	30
SORBI_3002G288100	SORBI_3002G288100		1	2
SORBI_3002G288200	SORBI_3002G288200	31	68	57
SORBI_3002G288300	SORBI_3002G288300	41	316	155
SORBI_3002G288700	psbJ	2	4	7
SORBI_3002G288900	SORBI_3002G288900	36	60	71
SORBI_3002G289000	SORBI_3002G289000	8	16	19
SORBI_3002G289100	SORBI_3002G289100		1	
SORBI_3002G289350	SORBI_3002G289350			0.7
SORBI_3002G289400	SORBI_3002G289400		0.8	2
SORBI_3002G289601	SORBI_3002G289601		9	
SORBI_3002G289701	SORBI_3002G289701			0.6
SORBI_3002G289800	SORBI_3002G289800	19	58	52
SORBI_3002G289900	SORBI_3002G289900	4	3	1
SORBI_3002G290000	SORBI_3002G290000	1	3	2
SORBI_3002G290100	SORBI_3002G290100	7	7	10
SORBI_3002G290300	SORBI_3002G290300	6	8	10
SORBI_3002G290400	SORBI_3002G290400	9	34	17
SORBI_3002G290500	SORBI_3002G290500	1		0.7
SORBI_3002G290700	SORBI_3002G290700	0.5	2	1
SORBI_3002G290800	SORBI_3002G290800		0.8	1
SORBI_3002G290900	SORBI_3002G290900		1	2
SORBI_3002G291000	SORBI_3002G291000		0.5	
SORBI_3002G291066	SORBI_3002G291066	65	130	107
SORBI_3002G291132	SORBI_3002G291132	21	0.6	
SORBI_3002G291200	SORBI_3002G291200	738	720	496
SORBI_3002G291300	SORBI_3002G291300	8	20	23
SORBI_3002G291350	SORBI_3002G291350		0.7	
SORBI_3002G291400	SORBI_3002G291400	22	35	36
SORBI_3002G291500	SORBI_3002G291500	35	44	53
SORBI_3002G291600	SORBI_3002G291600	32	54	52
SORBI_3002G291700	SORBI_3002G291700	0.5	4	2
SORBI_3002G291800	SORBI_3002G291800	3	9	4
SORBI_3002G291850	SORBI_3002G291850	0.5		
SORBI_3002G291900	SORBI_3002G291900		5	7
SORBI_3002G292000	SORBI_3002G292000		3	
SORBI_3002G292100	SORBI_3002G292100	7	22	7
SORBI_3002G292200	SORBI_3002G292200	2	4	4
SORBI_3002G292300	SORBI_3002G292300		0.6	1
SORBI_3002G292400	SORBI_3002G292400	4	10	11
SORBI_3002G292500	SORBI_3002G292500	4	8	2
SORBI_3002G292600	SORBI_3002G292600	8	6	21
SORBI_3002G292800	SORBI_3002G292800	14	12	22
SORBI_3002G292900	SORBI_3002G292900	34	25	25
SORBI_3002G293000	SORBI_3002G293000	10		5
SORBI_3002G293100	SORBI_3002G293100	47		
SORBI_3002G293200	SORBI_3002G293200	180	119	128
SORBI_3002G293300	SORBI_3002G293300	9	11	18
SORBI_3002G293400	SORBI_3002G293400	63	69	117
SORBI_3002G293500	SORBI_3002G293500	6	4	5
SORBI_3002G293600	SORBI_3002G293600	13	22	31
SORBI_3002G293700	SORBI_3002G293700	11	22	38
SORBI_3002G293800	SORBI_3002G293800	2	4	6
SORBI_3002G293900	SORBI_3002G293900	4	6	5
SORBI_3002G294000	SORBI_3002G294000	2	1	0.7
SORBI_3002G294100	SORBI_3002G294100	9	13	16
SORBI_3002G294200	SORBI_3002G294200	56	102	126
SORBI_3002G294300	SORBI_3002G294300	0.8	1	5
SORBI_3002G294400	SORBI_3002G294400	47	58	50
SORBI_3002G294500	SORBI_3002G294500	89	210	132
SORBI_3002G294600	SORBI_3002G294600		0.6	1
SORBI_3002G294700	SORBI_3002G294700	9	14	46
SORBI_3002G294800	SORBI_3002G294800	29	37	67
SORBI_3002G294900	SORBI_3002G294900	3	3	5
SORBI_3002G295000	SORBI_3002G295000	9	2	
SORBI_3002G295100	SORBI_3002G295100	16	26	25
SORBI_3002G295300	SORBI_3002G295300		2	
SORBI_3002G295500	SORBI_3002G295500	19	21	28
SORBI_3002G295600	SORBI_3002G295600		12	
SORBI_3002G295700	SORBI_3002G295700	14	36	24
SORBI_3002G295800	SORBI_3002G295800	1	87	2
SORBI_3002G295900	SORBI_3002G295900	11	30	37
SORBI_3002G296000	SORBI_3002G296000	2	4	10
SORBI_3002G296100	SORBI_3002G296100	5	6	7
SORBI_3002G296200	SORBI_3002G296200	179	312	249
SORBI_3002G296300	SORBI_3002G296300	19	35	46
SORBI_3002G296400	SORBI_3002G296400	15	16	18
SORBI_3002G296500	SORBI_3002G296500	1	6	5
SORBI_3002G296600	SORBI_3002G296600	2	37	45
SORBI_3002G296800	SORBI_3002G296800	2	21	11
SORBI_3002G296900	SORBI_3002G296900	70	24	35
SORBI_3002G297000	SORBI_3002G297000	98	49	86
SORBI_3002G297100	SORBI_3002G297100			0.6
SORBI_3002G297200	SORBI_3002G297200	52	60	87
SORBI_3002G297300	SORBI_3002G297300	3	25	15
SORBI_3002G297400	SORBI_3002G297400	9	30	39
SORBI_3002G297500	SORBI_3002G297500	1	4	5
SORBI_3002G297600	SORBI_3002G297600	6	6	9
SORBI_3002G297700	SORBI_3002G297700	40	72	52
SORBI_3002G297800	SORBI_3002G297800	38	56	73
SORBI_3002G297900	SORBI_3002G297900	35	40	36
SORBI_3002G298100	SORBI_3002G298100	17	24	36
SORBI_3002G298201	SORBI_3002G298201		0.8	
SORBI_3002G298300	SORBI_3002G298300	29	39	46
SORBI_3002G298400	SORBI_3002G298400			0.5
SORBI_3002G298500	SORBI_3002G298500		2	
SORBI_3002G298700	SORBI_3002G298700	1	2	3
SORBI_3002G298800	SORBI_3002G298800	5	15	13
SORBI_3002G298900	SORBI_3002G298900	4	16	7
SORBI_3002G299000	SORBI_3002G299000	23	32	43
SORBI_3002G299100	SORBI_3002G299100	9	17	19
SORBI_3002G299200	SORBI_3002G299200	39	22	3
SORBI_3002G299300	SORBI_3002G299300	0.7	10	31
SORBI_3002G299400	SORBI_3002G299400	4	7	18
SORBI_3002G299500	SORBI_3002G299500	1	21	2
SORBI_3002G299600	SORBI_3002G299600	5	33	22
SORBI_3002G299700	SORBI_3002G299700	25	27	50
SORBI_3002G299800	SORBI_3002G299800		2	2
SORBI_3002G299900	SORBI_3002G299900	7	16	10
SORBI_3002G300000	SORBI_3002G300000	19	14	8
SORBI_3002G300300	SORBI_3002G300300	11	10	18
SORBI_3002G300400	SORBI_3002G300400	7	11	9
SORBI_3002G300500	SORBI_3002G300500	5	6	11
SORBI_3002G300600	SORBI_3002G300600	21	42	53
SORBI_3002G300700	SORBI_3002G300700	63	110	125
SORBI_3002G300800	SORBI_3002G300800	3		
SORBI_3002G300900	SORBI_3002G300900	7		
SORBI_3002G301000	SORBI_3002G301000	12	30	28
SORBI_3002G301100	SORBI_3002G301100	56	96	110
SORBI_3002G301200	SORBI_3002G301200	54	187	174
SORBI_3002G301300	SORBI_3002G301300	48	91	84
SORBI_3002G301400	SORBI_3002G301400	7	12	14
SORBI_3002G301500	SORBI_3002G301500	5	19	36
SORBI_3002G301600	SORBI_3002G301600	3	3	20
SORBI_3002G301700	SORBI_3002G301700	8	9	37
SORBI_3002G301800	SORBI_3002G301800	10	10	25
SORBI_3002G302000	SORBI_3002G302000	15	2	13
SORBI_3002G302100	SORBI_3002G302100	0.9	5	3
SORBI_3002G302200	SORBI_3002G302200	2		
SORBI_3002G302300	SORBI_3002G302300	10		
SORBI_3002G302500	SORBI_3002G302500	2	0.8	0.9
SORBI_3002G302600	SORBI_3002G302600	3	4	4
SORBI_3002G302700	SORBI_3002G302700	16	17	25
SORBI_3002G302800	SORBI_3002G302800	0.9	1	4
SORBI_3002G302900	SORBI_3002G302900	10	11	21
SORBI_3002G303000	SORBI_3002G303000	2	3	7
SORBI_3002G303100	SORBI_3002G303100	1	2	7
SORBI_3002G303200	SORBI_3002G303200	7	8	11
SORBI_3002G303300	SORBI_3002G303300	18	50	92
SORBI_3002G303500	SORBI_3002G303500	0.7	441	
SORBI_3002G303600	SORBI_3002G303600	46	66	69
SORBI_3002G303700	SORBI_3002G303700	6	6	14
SORBI_3002G303800	SORBI_3002G303800	8	10	12
SORBI_3002G303900	SORBI_3002G303900		1	
SORBI_3002G303950	SORBI_3002G303950	2	1	2
SORBI_3002G304000	SORBI_3002G304000	87	51	175
SORBI_3002G304100	SORBI_3002G304100	23	29	37
SORBI_3002G304300	SORBI_3002G304300		47	
SORBI_3002G304400	SORBI_3002G304400	19	14	11
SORBI_3002G304500	SORBI_3002G304500	3	3	0.9
SORBI_3002G304700	SORBI_3002G304700	33	74	39
SORBI_3002G304801	SORBI_3002G304801		0.9	
SORBI_3002G304900	SORBI_3002G304900	103	176	239
SORBI_3002G305000	SORBI_3002G305000	18	36	57
SORBI_3002G305100	SORBI_3002G305100	2	2	4
SORBI_3002G305500	SORBI_3002G305500			0.6
SORBI_3002G305600	SORBI_3002G305600	0.7	0.8	
SORBI_3002G305700	SORBI_3002G305700	12	41	47
SORBI_3002G305800	SORBI_3002G305800	0.6	148	
SORBI_3002G305900	SORBI_3002G305900	2	2	1
SORBI_3002G306000	SORBI_3002G306000	31	40	77
SORBI_3002G306100	SORBI_3002G306100	23	42	46
SORBI_3002G306201	SORBI_3002G306201	2	11	11
SORBI_3002G306300	SORBI_3002G306300	21	50	61
SORBI_3002G306400	SORBI_3002G306400	25	42	61
SORBI_3002G306500	SORBI_3002G306500	5	5	6
SORBI_3002G306600	SORBI_3002G306600	91	79	71
SORBI_3002G306700	SORBI_3002G306700	20	18	20
SORBI_3002G306800	SORBI_3002G306800	1	6	2
SORBI_3002G306900	SORBI_3002G306900	825	1700	1204
SORBI_3002G307400	SORBI_3002G307400		20	
SORBI_3002G307500	SORBI_3002G307500	2	4	0.6
SORBI_3002G307600	SORBI_3002G307600	7	18	53
SORBI_3002G307800	SORBI_3002G307800	4	43	12
SORBI_3002G307900	SORBI_3002G307900		0.6	
SORBI_3002G308000	SORBI_3002G308000	6	12	10
SORBI_3002G308200	SORBI_3002G308200	1	7	2
SORBI_3002G308300	SORBI_3002G308300	164	283	174
SORBI_3002G308400	SORBI_3002G308400	8		
SORBI_3002G308500	SORBI_3002G308500	28	40	52
SORBI_3002G308600	SORBI_3002G308600	2	5	3
SORBI_3002G308700	SORBI_3002G308700	37	39	52
SORBI_3002G308800	SORBI_3002G308800	5	7	10
SORBI_3002G308900	SORBI_3002G308900	2	228	
SORBI_3002G309000	SORBI_3002G309000	18	22	0.9
SORBI_3002G309100	SORBI_3002G309100	2	4	1
SORBI_3002G309200	SORBI_3002G309200	10	12	17
SORBI_3002G309300	SORBI_3002G309300	4	4	6
SORBI_3002G309400	SORBI_3002G309400	25	45	93
SORBI_3002G309500	SORBI_3002G309500	102	245	195
SORBI_3002G309600	SORBI_3002G309600	53	63	90
SORBI_3002G309700	SORBI_3002G309700	156	345	241
SORBI_3002G309800	SORBI_3002G309800	192	187	319
SORBI_3002G309900	SORBI_3002G309900	65	88	107
SORBI_3002G310000	SORBI_3002G310000	2	4	5
SORBI_3002G310100	SORBI_3002G310100			0.5
SORBI_3002G310200	SORBI_3002G310200	26	45	59
SORBI_3002G310300	SORBI_3002G310300	1	2	1
SORBI_3002G310600	SORBI_3002G310600		0.5	1
SORBI_3002G310800	SORBI_3002G310800			1
SORBI_3002G310900	SORBI_3002G310900	2	261	3
SORBI_3002G311000	SORBI_3002G311000	4	15	20
SORBI_3002G311100	SORBI_3002G311100	38	52	65
SORBI_3002G311200	SORBI_3002G311200	1	0.9	1
SORBI_3002G311400	SORBI_3002G311400	2	10	7
SORBI_3002G311501	SORBI_3002G311501		3	3
SORBI_3002G311601	SORBI_3002G311601		0.6	5
SORBI_3002G311700	SORBI_3002G311700			0.7
SORBI_3002G311900	SORBI_3002G311900		0.8	
SORBI_3002G312000	SORBI_3002G312000		26	
SORBI_3002G312100	SORBI_3002G312100		0.7	
SORBI_3002G312200	SORBI_3002G312200	0.6	7	8
SORBI_3002G312300	SORBI_3002G312300	1	14	13
SORBI_3002G312400	SORBI_3002G312400	43	72	100
SORBI_3002G312500	SORBI_3002G312500		0.6	1
SORBI_3002G312600	SORBI_3002G312600		0.5	0.6
SORBI_3002G312700	SORBI_3002G312700	15	19	20
SORBI_3002G312800	SORBI_3002G312800	34	29	50
SORBI_3002G312900	SORBI_3002G312900	14	10	31
SORBI_3002G313000	SORBI_3002G313000	2	10	19
SORBI_3002G313100	SORBI_3002G313100	43	66	56
SORBI_3002G313300	SORBI_3002G313300	42	37	74
SORBI_3002G313400	SORBI_3002G313400	23	34	54
SORBI_3002G313500	SORBI_3002G313500	19	43	43
SORBI_3002G313600	SORBI_3002G313600	32	33	51
SORBI_3002G313700	SORBI_3002G313700	23	12	16
SORBI_3002G313800	SORBI_3002G313800	2	8	18
SORBI_3002G313900	SORBI_3002G313900	45	31	33
SORBI_3002G314000	SORBI_3002G314000		0.9	
SORBI_3002G314100	SORBI_3002G314100	0.5	1	2
SORBI_3002G314200	SORBI_3002G314200	10	23	19
SORBI_3002G314300	SORBI_3002G314300	55	14	22
SORBI_3002G314400	SORBI_3002G314400	3	7	10
SORBI_3002G314500	SORBI_3002G314500	1	5	9
SORBI_3002G314700	SORBI_3002G314700			0.6
SORBI_3002G314800	SORBI_3002G314800	2	5	18
SORBI_3002G314900	SORBI_3002G314900	25	15	20
SORBI_3002G314950	SORBI_3002G314950		0.5	2
SORBI_3002G315000	SORBI_3002G315000		1	2
SORBI_3002G315100	SORBI_3002G315100	24	14	16
SORBI_3002G315200	SORBI_3002G315200	24	37	67
SORBI_3002G315400	SORBI_3002G315400	13	9	11
SORBI_3002G315500	SORBI_3002G315500	4	2	4
SORBI_3002G315700	SORBI_3002G315700	52	124	108
SORBI_3002G315800	SORBI_3002G315800	132	248	336
SORBI_3002G315900	SORBI_3002G315900	7		
SORBI_3002G316100	SORBI_3002G316100	0.8	2	
SORBI_3002G316301	SORBI_3002G316301		2	0.9
SORBI_3002G316500	SORBI_3002G316500	2	3	7
SORBI_3002G316600	SORBI_3002G316600	10	12	17
SORBI_3002G316700	SORBI_3002G316700	17	91	55
SORBI_3002G316800	SORBI_3002G316800	12	22	16
SORBI_3002G316900	SORBI_3002G316900	18	4	12
SORBI_3002G317100	SORBI_3002G317100	2	2	3
SORBI_3002G317200	SORBI_3002G317200	13	15	26
SORBI_3002G317300	SORBI_3002G317300	44	100	166
SORBI_3002G317350	SORBI_3002G317350	15	32	35
SORBI_3002G317400	SORBI_3002G317400	37	80	88
SORBI_3002G317500	SORBI_3002G317500	11		
SORBI_3002G317600	SORBI_3002G317600	92	76	103
SORBI_3002G317700	SORBI_3002G317700	8	15	8
SORBI_3002G317800	SORBI_3002G317800	12	21	47
SORBI_3002G317900	SORBI_3002G317900	2		
SORBI_3002G318000	SORBI_3002G318000	0.7	3	11
SORBI_3002G318100	SORBI_3002G318100	1		0.9
SORBI_3002G318200	SORBI_3002G318200	1	1	0.8
SORBI_3002G318300	SORBI_3002G318300	3	7	3
SORBI_3002G318501	SORBI_3002G318501	0.7	3	9
SORBI_3002G318600	SORBI_3002G318600	34	40	81
SORBI_3002G318700	SORBI_3002G318700	2	3	4
SORBI_3002G318800	SORBI_3002G318800	16	20	35
SORBI_3002G318900	SORBI_3002G318900		0.5	
SORBI_3002G319100	SORBI_3002G319100	1	7	7
SORBI_3002G319200	SORBI_3002G319200	9	12	14
SORBI_3002G319300	SORBI_3002G319300	0.6	5	9
SORBI_3002G319400	SORBI_3002G319400	8	7	1
SORBI_3002G319500	SORBI_3002G319500	2		2
SORBI_3002G319766	SORBI_3002G319766		0.5	
SORBI_3002G319900	SORBI_3002G319900	3	3	13
SORBI_3002G320001	SORBI_3002G320001	1	4	4
SORBI_3002G320100	SORBI_3002G320100	29	53	72
SORBI_3002G320200	SORBI_3002G320200	1	4	4
SORBI_3002G320300	SORBI_3002G320300	4		
SORBI_3002G320500	SORBI_3002G320500	17	18	28
SORBI_3002G320600	SORBI_3002G320600	16	27	37
SORBI_3002G320700	SORBI_3002G320700	0.8	3	2
SORBI_3002G320900	SORBI_3002G320900	16	22	18
SORBI_3002G321100	SORBI_3002G321100	3	6	10
SORBI_3002G321200	SORBI_3002G321200	1	2	6
SORBI_3002G321300	SORBI_3002G321300	3	8	16
SORBI_3002G321400	SORBI_3002G321400	8	42	25
SORBI_3002G321500	SORBI_3002G321500	8	36	7
SORBI_3002G321600	SORBI_3002G321600		1	
SORBI_3002G321700	SORBI_3002G321700	1	1	0.5
SORBI_3002G321800	SORBI_3002G321800	3	3	5
SORBI_3002G321901	SORBI_3002G321901	4	7	9
SORBI_3002G322000	SORBI_3002G322000	339	76	139
SORBI_3002G322200	SORBI_3002G322200	4	4	10
SORBI_3002G322300	SORBI_3002G322300	9	43	24
SORBI_3002G322400	SORBI_3002G322400	141	139	129
SORBI_3002G322500	SORBI_3002G322500	7	125	
SORBI_3002G322700	SORBI_3002G322700	2	11	6
SORBI_3002G322800	SORBI_3002G322800		0.8	2
SORBI_3002G322900	SORBI_3002G322900	2	20	35
SORBI_3002G323000	SORBI_3002G323000	10	1190	15
SORBI_3002G323200	SORBI_3002G323200	1	114	
SORBI_3002G323300	SORBI_3002G323300	19	18	40
SORBI_3002G323900	SORBI_3002G323900	4	26	200
SORBI_3002G324000	SORBI_3002G324000	4		0.5
SORBI_3002G324100	SORBI_3002G324100	7	1	4
SORBI_3002G324200	SORBI_3002G324200	897	1498	6283
SORBI_3002G324300	SORBI_3002G324300	5	9	12
SORBI_3002G324400	SORBI_3002G324400	8	53	39
SORBI_3002G324500	SORBI_3002G324500	1	2	2
SORBI_3002G324700	SORBI_3002G324700	8	18	29
SORBI_3002G324801	SORBI_3002G324801	3	2	8
SORBI_3002G324900	SORBI_3002G324900		0.8	2
SORBI_3002G325200	SORBI_3002G325200		2	4
SORBI_3002G325300	SORBI_3002G325300	60	80	88
SORBI_3002G325400	SORBI_3002G325400	16	16	28
SORBI_3002G326100	SORBI_3002G326100			2
SORBI_3002G326200	SORBI_3002G326200	2	4	7
SORBI_3002G326300	SORBI_3002G326300	2	2	5
SORBI_3002G326400	SORBI_3002G326400		0.5	1
SORBI_3002G326500	SORBI_3002G326500	0.5	1	1
SORBI_3002G326800	SORBI_3002G326800	4	5	4
SORBI_3002G326900	SORBI_3002G326900	12	10	16
SORBI_3002G327000	SORBI_3002G327000	19	17	28
SORBI_3002G327300	SORBI_3002G327300			1
SORBI_3002G327500	SORBI_3002G327500	6	14	19
SORBI_3002G327600	SORBI_3002G327600	8	0.5	
SORBI_3002G327700	SORBI_3002G327700			8
SORBI_3002G327800	SORBI_3002G327800		0.8	8
SORBI_3002G327900	SORBI_3002G327900			4
SORBI_3002G328000	SORBI_3002G328000	0.5	1	5
SORBI_3002G328100	SORBI_3002G328100	4	12	17
SORBI_3002G328200	SORBI_3002G328200		6	4
SORBI_3002G328300	SORBI_3002G328300	4	0.8	0.5
SORBI_3002G328400	SORBI_3002G328400	3	8	26
SORBI_3002G328500	SORBI_3002G328500		0.9	7
SORBI_3002G328800	SORBI_3002G328800		2	2
SORBI_3002G329000	SORBI_3002G329000		0.8	3
SORBI_3002G329100	SORBI_3002G329100	1		2
SORBI_3002G329300	SORBI_3002G329300	87	43	53
SORBI_3002G329400	SORBI_3002G329400	1	0.8	1
SORBI_3002G329500	SORBI_3002G329500	116	597	131
SORBI_3002G329600	SORBI_3002G329600	50	529	238
SORBI_3002G329700	SORBI_3002G329700	17	20	19
SORBI_3002G329800	SORBI_3002G329800	0.6	0.6	1
SORBI_3002G329900	SORBI_3002G329900	53	259	65
SORBI_3002G330000	SORBI_3002G330000	196	416	499
SORBI_3002G330100	SORBI_3002G330100	5	125	2
SORBI_3002G330200	SORBI_3002G330200		4	
SORBI_3002G330300	SORBI_3002G330300	14	24	44
SORBI_3002G330400	SORBI_3002G330400	21	15	27
SORBI_3002G330500	SORBI_3002G330500	53	45	57
SORBI_3002G330600	SORBI_3002G330600	30	38	45
SORBI_3002G330700	SORBI_3002G330700		3	4
SORBI_3002G330800	SORBI_3002G330800	1	4	7
SORBI_3002G330900	SORBI_3002G330900	3	2	5
SORBI_3002G331000	SORBI_3002G331000	0.6	2	2
SORBI_3002G331050	SORBI_3002G331050	1	3	6
SORBI_3002G331100	SORBI_3002G331100	7	12	16
SORBI_3002G331200	SORBI_3002G331200	0.6		0.9
SORBI_3002G331300	SORBI_3002G331300	285	358	417
SORBI_3002G331450	SORBI_3002G331450			0.7
SORBI_3002G331700	SORBI_3002G331700	10	10	13
SORBI_3002G331800	SORBI_3002G331800	2	7	10
SORBI_3002G331900	SORBI_3002G331900		0.6	
SORBI_3002G332000	SORBI_3002G332000		0.9	
SORBI_3002G332100	SORBI_3002G332100	31	76	147
SORBI_3002G332200	SORBI_3002G332200	35	42	54
SORBI_3002G332300	SORBI_3002G332300		4	1
SORBI_3002G332400	SORBI_3002G332400	21	22	25
SORBI_3002G332500	SORBI_3002G332500	2		
SORBI_3002G332600	SORBI_3002G332600	2		
SORBI_3002G332750	SORBI_3002G332750	93	118	135
SORBI_3002G332900	SORBI_3002G332900	7	7	7
