GeneID,Gene Name,floral meristem,flower,plant embryo,root,shoot,vegetative meristem
SORBI_3002G345800,SORBI_3002G345800,11,129,34,87,33,19
SORBI_3002G345850,SORBI_3002G345850,1,17,0.3,3,3,2
SORBI_3002G346100,SORBI_3002G346100,0.9,3,0.6,0.9,0.9,0.6
SORBI_3002G346200,SORBI_3002G346200,251,165,181,150,124,183
SORBI_3002G346250,SORBI_3002G346250,24,13,6,19,20,16
SORBI_3002G346300,SORBI_3002G346300,5,2,15,8,4,2
SORBI_3002G346400,SORBI_3002G346400,7,23,32,9,9,6
SORBI_3002G346600,SORBI_3002G346600,10,5,20,10,11,12
SORBI_3002G346700,SORBI_3002G346700,,1,,,,
SORBI_3002G346800,SORBI_3002G346800,,1,,,,
SORBI_3002G346900,SORBI_3002G346900,44,36,24,29,17,34
SORBI_3002G347000,SORBI_3002G347000,29,29,22,25,17,26
SORBI_3002G347100,SORBI_3002G347100,,0.1,,0.2,,
SORBI_3002G347200,SORBI_3002G347200,4,0.2,,,0.1,3
SORBI_3002G347300,SORBI_3002G347300,0.7,1,0.3,26,15,1
SORBI_3002G347400,SORBI_3002G347400,10,2,10,4,3,9
SORBI_3002G347500,SORBI_3002G347500,,11,0.4,17,3,
SORBI_3002G347600,SORBI_3002G347600,12,5,11,3,11,12
SORBI_3002G347700,SORBI_3002G347700,11,15,16,14,7,12
SORBI_3002G347750,SORBI_3002G347750,0.4,0.2,,0.6,0.7,0.1
SORBI_3002G347800,SORBI_3002G347800,,0.1,,,,
SORBI_3002G347900,SORBI_3002G347900,29,18,19,29,18,32
SORBI_3002G348000,SORBI_3002G348000,109,57,50,27,37,82
SORBI_3002G348100,SORBI_3002G348100,26,22,19,35,8,34
SORBI_3002G348300,SORBI_3002G348300,0.2,0.1,,5,0.2,0.3
SORBI_3002G348400,SORBI_3002G348400,97,128,149,50,36,95
SORBI_3002G348500,SORBI_3002G348500,0.7,2,0.4,2,0.5,0.5
SORBI_3002G348600,SORBI_3002G348600,32,45,36,55,24,31
SORBI_3002G348700,SORBI_3002G348700,281,26,64,24,42,289
SORBI_3002G348900,SORBI_3002G348900,7,2,,,,8
SORBI_3002G349000,SORBI_3002G349000,13,4,20,0.6,0.5,15
SORBI_3002G349100,SORBI_3002G349100,41,75,74,68,163,42
SORBI_3002G349200,SORBI_3002G349200,0.1,,2,,,0.1
SORBI_3002G349300,SORBI_3002G349300,56,429,81,138,338,47
SORBI_3002G349400,SORBI_3002G349400,110,951,170,274,737,81
SORBI_3002G349500,SORBI_3002G349500,42,2,6,2,1,47
SORBI_3002G349600,SORBI_3002G349600,,,0.2,,,0.1
SORBI_3002G349800,SORBI_3002G349800,,5,0.3,,,
SORBI_3002G349900,SORBI_3002G349900,,4,0.2,0.3,0.5,
SORBI_3002G350100,SORBI_3002G350100,,1,,0.1,0.2,
SORBI_3002G350200,SORBI_3002G350200,,0.6,,,,
SORBI_3002G350300,SORBI_3002G350300,142,94,111,104,61,121
SORBI_3002G350400,SORBI_3002G350400,403,418,465,638,273,460
SORBI_3002G350500,SORBI_3002G350500,0.2,1,1,0.8,0.1,0.1
SORBI_3002G350600,SORBI_3002G350600,53,36,57,90,50,63
SORBI_3002G350700,SORBI_3002G350700,0.7,2,0.1,11,6,0.2
SORBI_3002G350800,SORBI_3002G350800,0.2,5,,5,5,0.4
SORBI_3002G350901,SORBI_3002G350901,0.2,2,,6,3,0.2
SORBI_3002G351000,SORBI_3002G351000,0.1,2,,0.7,40,0.1
SORBI_3002G351100,SORBI_3002G351100,44,11,35,10,2,59
SORBI_3002G351200,SORBI_3002G351200,5,2,7,2,33,5
SORBI_3002G351300,SORBI_3002G351300,0.2,14,0.1,44,2,0.2
SORBI_3002G351400,SORBI_3002G351400,0.2,106,2,2,3,0.2
SORBI_3002G351500,SORBI_3002G351500,,118,,,,
SORBI_3002G351600,SORBI_3002G351600,30,22,38,12,78,34
SORBI_3002G351700,SORBI_3002G351700,44,8,45,16,3,53
SORBI_3002G351900,SORBI_3002G351900,41,60,43,32,39,41
SORBI_3002G352000,SORBI_3002G352000,2,35,0.7,38,2,1
SORBI_3002G352100,SORBI_3002G352100,34,415,1,3,5445,41
SORBI_3002G352200,SORBI_3002G352200,113,196,190,183,48,177
SORBI_3002G352301,SORBI_3002G352301,0.1,,,,0.2,0.4
SORBI_3002G352401,SORBI_3002G352401,,0.3,20,,,
SORBI_3002G352501,SORBI_3002G352501,,,0.1,,,
SORBI_3002G352600,SORBI_3002G352600,30,30,23,21,15,26
SORBI_3002G352700,SORBI_3002G352700,40,61,45,77,29,45
SORBI_3002G352800,SORBI_3002G352800,6,21,7,118,15,5
SORBI_3002G352900,SORBI_3002G352900,,2,0.5,,,
SORBI_3002G353000,SORBI_3002G353000,31,50,96,108,50,32
SORBI_3002G353100,SORBI_3002G353100,,0.2,,,,
SORBI_3002G353200,SORBI_3002G353200,78,25,10,33,10,77
SORBI_3002G353300,SORBI_3002G353300,22,20,14,29,75,17
SORBI_3002G353400,SORBI_3002G353400,140,88,72,142,50,99
SORBI_3002G353450,SORBI_3002G353450,,0.1,,,,
SORBI_3002G353500,SORBI_3002G353500,164,41,56,40,19,112
SORBI_3002G353600,SORBI_3002G353600,47,24,48,18,15,42
SORBI_3002G353700,SORBI_3002G353700,87,24,26,19,30,77
SORBI_3002G353800,SORBI_3002G353800,0.8,4,4,3,0.1,0.5
SORBI_3002G353900,SORBI_3002G353900,,23,0.4,141,6,
SORBI_3002G354000,SORBI_3002G354000,0.3,39,,79,115,0.1
SORBI_3002G354100,SORBI_3002G354100,,0.2,,0.3,0.1,
SORBI_3002G354200,SORBI_3002G354200,,2,0.3,13,0.1,
SORBI_3002G354400,SORBI_3002G354400,,0.2,,,,
SORBI_3002G354501,SORBI_3002G354501,57,104,70,14,93,51
SORBI_3002G354600,SORBI_3002G354600,25,20,29,7,43,20
SORBI_3002G354700,SORBI_3002G354700,17,2,4,0.8,2,16
SORBI_3002G354800,SORBI_3002G354800,16,7,17,2,1,13
SORBI_3002G354900,SORBI_3002G354900,53,26,104,15,6,25
SORBI_3002G355000,SORBI_3002G355000,114,56,95,82,32,113
SORBI_3002G355100,SORBI_3002G355100,0.8,51,0.7,29,6,0.5
SORBI_3002G355200,SORBI_3002G355200,,3,1,12,0.3,
SORBI_3002G355300,SORBI_3002G355300,26,77,64,92,45,23
SORBI_3002G355400,SORBI_3002G355400,41,26,32,17,25,33
SORBI_3002G355500,SORBI_3002G355500,78,74,29,51,79,55
SORBI_3002G355600,SORBI_3002G355600,6,4,2,0.2,2,9
SORBI_3002G355700,SORBI_3002G355700,0.1,,,0.3,,
SORBI_3002G355800,SORBI_3002G355800,53,90,105,74,52,61
SORBI_3002G356000,SORBI_3002G356000,,0.4,,,,
SORBI_3002G356101,SORBI_3002G356101,242,331,478,414,97,238
SORBI_3002G356200,SORBI_3002G356200,32,22,40,7,17,29
SORBI_3002G356300,SORBI_3002G356300,5,0.3,83,,0.1,2
SORBI_3002G356400,SORBI_3002G356400,155,242,282,236,123,204
SORBI_3002G356500,SORBI_3002G356500,0.2,1,0.1,8,1,0.1
SORBI_3002G356600,SORBI_3002G356600,11,5,9,6,4,12
SORBI_3002G356700,SORBI_3002G356700,13,3,9,3,1,9
SORBI_3002G356800,SORBI_3002G356800,49,8,44,34,24,27
SORBI_3002G356900,SORBI_3002G356900,25,16,21,10,99,19
SORBI_3002G357000,SORBI_3002G357000,3,6,21,33,39,4
SORBI_3002G357100,SORBI_3002G357100,93,36,102,52,25,78
SORBI_3002G357200,SORBI_3002G357200,9,2,2,1,2,6
SORBI_3002G357300,SORBI_3002G357300,2,3,3,1,5,3
SORBI_3002G357400,SORBI_3002G357400,10,4,14,21,9,14
SORBI_3002G357500,SORBI_3002G357500,,1,5,0.2,,
SORBI_3002G357600,SORBI_3002G357600,9,4,6,15,11,12
SORBI_3002G357700,SORBI_3002G357700,72,38,73,42,24,63
SORBI_3002G357800,SORBI_3002G357800,35,2,4,17,1,35
SORBI_3002G357900,SORBI_3002G357900,58,68,104,53,19,50
SORBI_3002G357950,SORBI_3002G357950,,,0.2,,,
SORBI_3002G358000,SORBI_3002G358000,,,0.1,,,
SORBI_3002G358100,SORBI_3002G358100,1,10,2,0.2,8,0.3
SORBI_3002G358400,SORBI_3002G358400,77,97,124,80,49,68
SORBI_3002G358500,SORBI_3002G358500,45,14,20,13,14,36
SORBI_3002G358600,SORBI_3002G358600,5,7,10,6,7,3
SORBI_3002G358800,SORBI_3002G358800,53,40,110,46,36,42
SORBI_3002G358900,SORBI_3002G358900,14,2,8,4,1,13
SORBI_3002G359000,SORBI_3002G359000,12,11,4,17,17,10
SORBI_3002G359100,SORBI_3002G359100,,16,,,,
SORBI_3002G359200,SORBI_3002G359200,0.7,0.3,,5,1,0.7
SORBI_3002G359300,SORBI_3002G359300,0.9,1,1,1,0.9,
SORBI_3002G359400,SORBI_3002G359400,44,46,55,44,29,44
SORBI_3002G359500,SORBI_3002G359500,0.2,0.2,,,,
SORBI_3002G359600,SORBI_3002G359600,48,13,20,10,46,54
SORBI_3002G359700,SORBI_3002G359700,23,33,2,13,10,9
SORBI_3002G359800,SORBI_3002G359800,0.1,0.2,,9,0.6,
SORBI_3002G359900,SORBI_3002G359900,224,95,181,139,71,211
SORBI_3002G360000,SORBI_3002G360000,5,2,0.2,1,1,3
SORBI_3002G360200,SORBI_3002G360200,10,2,5,1,8,10
SORBI_3002G360301,SORBI_3002G360301,27,24,19,221,135,37
SORBI_3002G360500,SORBI_3002G360500,65,9,16,11,12,68
SORBI_3002G360600,SORBI_3002G360600,125,32,12,1,0.1,138
SORBI_3002G360701,SORBI_3002G360701,12,4,2,10,6,8
SORBI_3002G360801,SORBI_3002G360801,,5,0.4,,,
SORBI_3002G360900,SORBI_3002G360900,3,76,119,,,0.1
SORBI_3002G361001,SORBI_3002G361001,0.2,0.3,0.3,2,0.4,0.1
SORBI_3002G361100,SORBI_3002G361100,,,,6,0.2,
SORBI_3002G361200,SORBI_3002G361200,0.6,0.2,0.2,10,,0.9
SORBI_3002G361300,SORBI_3002G361300,46,52,47,98,37,40
SORBI_3002G361400,SORBI_3002G361400,42,17,52,18,11,41
SORBI_3002G361500,SORBI_3002G361500,88,205,151,7,0.8,45
SORBI_3002G361600,SORBI_3002G361600,1,3,0.4,12,,0.5
SORBI_3002G361700,SORBI_3002G361700,3,2,2,4,1,3
SORBI_3002G361800,SORBI_3002G361800,1,,,3,,0.3
SORBI_3002G361900,SORBI_3002G361900,14,6,,8,7,14
SORBI_3002G362000,SORBI_3002G362000,2,13,2,5,2,2
SORBI_3002G362100,SORBI_3002G362100,19,14,13,11,14,18
SORBI_3002G362200,SORBI_3002G362200,74,9,47,13,4,86
SORBI_3002G362300,SORBI_3002G362300,44,14,14,12,6,28
SORBI_3002G362400,SORBI_3002G362400,0.1,,10,0.4,,0.1
SORBI_3002G362500,SORBI_3002G362500,5,6,4,2,0.4,5
SORBI_3002G362600,SORBI_3002G362600,7,4,7,8,2,7
SORBI_3002G362700,SORBI_3002G362700,97,16,67,21,13,100
SORBI_3002G362800,SORBI_3002G362800,59,32,52,30,27,61
SORBI_3002G362900,SORBI_3002G362900,37,28,46,65,13,36
SORBI_3002G363000,SORBI_3002G363000,7,4,4,2,1,7
SORBI_3002G363100,SORBI_3002G363100,412,636,540,965,662,437
SORBI_3002G363200,SORBI_3002G363200,28,143,12,19,17,23
SORBI_3002G363300,SORBI_3002G363300,146,11,5,0.6,0.7,97
SORBI_3002G363400,SORBI_3002G363400,3,4,4,6,10,3
SORBI_3002G363433,SORBI_3002G363433,0.1,,,,,
SORBI_3002G363500,SORBI_3002G363500,13,3,6,4,6,13
SORBI_3002G363600,SORBI_3002G363600,30,16,18,18,10,28
SORBI_3002G363700,SORBI_3002G363700,7,2,5,2,0.4,10
SORBI_3002G363800,SORBI_3002G363800,30,16,29,14,8,29
SORBI_3002G364000,SORBI_3002G364000,19,9,13,9,9,20
SORBI_3002G364100,SORBI_3002G364100,222,123,233,228,90,307
SORBI_3002G364301,SORBI_3002G364301,0.1,,,0.1,,0.1
SORBI_3002G364500,SORBI_3002G364500,159,87,193,188,70,250
SORBI_3002G364600,SORBI_3002G364600,,,,,,0.1
SORBI_3002G364700,SORBI_3002G364700,2,9,0.3,1,1,2
SORBI_3002G364800,SORBI_3002G364800,19,9,19,12,10,20
SORBI_3002G364900,SORBI_3002G364900,60,32,68,57,25,78
SORBI_3002G365100,SORBI_3002G365100,66,43,38,34,24,52
SORBI_3002G365200,SORBI_3002G365200,2,0.7,6,,,0.6
SORBI_3002G365300,SORBI_3002G365300,0.6,,0.8,,,0.5
SORBI_3002G365400,SORBI_3002G365400,6,1,2,0.8,2,6
SORBI_3002G365500,SORBI_3002G365500,0.3,0.3,,223,42,0.1
SORBI_3002G365550,SORBI_3002G365550,0.2,15,,421,49,0.1
SORBI_3002G365600,SORBI_3002G365600,,46,,462,16,
SORBI_3002G365700,SORBI_3002G365700,0.3,194,,10,27,0.1
SORBI_3002G365801,SORBI_3002G365801,3,12,0.2,283,39,2
SORBI_3002G365900,SORBI_3002G365900,53,24,50,49,24,60
SORBI_3002G366000,SORBI_3002G366000,179,60,49,31,32,185
SORBI_3002G366100,SORBI_3002G366100,0.3,1,0.1,0.4,96,0.4
SORBI_3002G366200,SORBI_3002G366200,,,0.5,19,,
SORBI_3002G366300,SORBI_3002G366300,21,9,260,3,22,22
SORBI_3002G366400,SORBI_3002G366400,146,46,71,45,33,155
SORBI_3002G366500,SORBI_3002G366500,0.3,7,0.7,26,27,0.5
SORBI_3002G366600,SORBI_3002G366600,5,18,1,68,32,5
SORBI_3002G366700,SORBI_3002G366700,17,11,2,5,7,8
SORBI_3002G366800,SORBI_3002G366800,11,10,9,9,4,14
SORBI_3002G366900,SORBI_3002G366900,35,11,20,11,7,31
SORBI_3002G367000,SORBI_3002G367000,0.1,0.2,,,,0.1
SORBI_3002G367100,SORBI_3002G367100,6,20,98,19,35,7
SORBI_3002G367200,SORBI_3002G367200,109,15,103,31,10,129
SORBI_3002G367300,SORBI_3002G367300,15,59,28,36,19,30
SORBI_3002G367400,SORBI_3002G367400,8,5,6,13,1,6
SORBI_3002G367600,SORBI_3002G367600,12,4,121,2,0.4,4
SORBI_3002G367700,SORBI_3002G367700,26,100,21,79,40,21
SORBI_3002G367800,SORBI_3002G367800,19,11,23,22,10,24
SORBI_3002G367850,SORBI_3002G367850,0.2,,0.7,,,
SORBI_3002G367900,SORBI_3002G367900,11,15,52,13,6,4
SORBI_3002G368000,SORBI_3002G368000,18,16,17,3,9,16
SORBI_3002G368100,SORBI_3002G368100,2,27,5,24,1,0.4
SORBI_3002G368200,SORBI_3002G368200,0.6,3,1,0.2,0.3,0.5
SORBI_3002G368300,SORBI_3002G368300,0.3,3,0.1,70,12,2
SORBI_3002G368400,SORBI_3002G368400,27,33,12,19,14,27
SORBI_3002G368500,SORBI_3002G368500,,,,,,0.1
SORBI_3002G368600,SORBI_3002G368600,31,20,16,71,7,31
SORBI_3002G368700,SORBI_3002G368700,169,90,4,4,5,135
SORBI_3002G368800,SORBI_3002G368800,9,0.9,11,73,5,12
SORBI_3002G368901,SORBI_3002G368901,8,2,0.8,15,3,11
SORBI_3002G369000,SORBI_3002G369000,5,5,2,94,33,10
SORBI_3002G369100,SORBI_3002G369100,,,0.5,,,
SORBI_3002G369301,SORBI_3002G369301,0.3,,,,,0.3
SORBI_3002G369400,SORBI_3002G369400,2,1,0.2,25,2,0.3
SORBI_3002G369500,SORBI_3002G369500,,0.4,,,0.5,
SORBI_3002G369600,SORBI_3002G369600,,,,0.1,0.8,
SORBI_3002G369701,SORBI_3002G369701,22,6,14,6,5,23
SORBI_3002G369800,SORBI_3002G369800,2,5,2,6,37,3
SORBI_3002G370000,SORBI_3002G370000,10,9,1,0.9,19,8
SORBI_3002G370100,SORBI_3002G370100,31,14,45,95,20,21
SORBI_3002G370200,SORBI_3002G370200,88,40,61,45,24,81
SORBI_3002G370300,SORBI_3002G370300,0.4,3,3,0.5,0.1,0.2
SORBI_3002G370400,SORBI_3002G370400,47,27,51,29,14,48
SORBI_3002G370500,SORBI_3002G370500,196,143,132,106,123,169
SORBI_3002G370600,SORBI_3002G370600,3,37,9,19,214,2
SORBI_3002G370700,SORBI_3002G370700,21,21,17,15,125,22
SORBI_3002G370800,SORBI_3002G370800,39,19,187,5,5,27
SORBI_3002G370900,SORBI_3002G370900,109,94,86,74,47,103
SORBI_3002G371000,SORBI_3002G371000,43,23,21,13,17,49
SORBI_3002G371100,SORBI_3002G371100,92,102,90,133,99,126
SORBI_3002G371200,SORBI_3002G371200,214,234,264,154,100,300
SORBI_3002G371300,SORBI_3002G371300,19,15,22,13,10,15
SORBI_3002G371400,SORBI_3002G371400,10,9,12,18,19,12
SORBI_3002G371500,SORBI_3002G371500,13,7,7,5,7,17
SORBI_3002G371600,SORBI_3002G371600,47,19,51,24,12,50
SORBI_3002G371700,SORBI_3002G371700,93,54,142,80,41,105
SORBI_3002G371800,SORBI_3002G371800,,0.1,,,,
SORBI_3002G371900,SORBI_3002G371900,,0.1,,,5,
SORBI_3002G372000,SORBI_3002G372000,1,3,0.3,,0.3,0.7
SORBI_3002G372100,SORBI_3002G372100,0.1,0.1,,5,,
SORBI_3002G372200,SORBI_3002G372200,2,5,3,4,3,0.4
SORBI_3002G372300,SORBI_3002G372300,8,10,5,22,1,8
SORBI_3002G372400,SORBI_3002G372400,614,364,447,709,187,735
SORBI_3002G372500,SORBI_3002G372500,33,9,29,17,10,32
SORBI_3002G372600,SORBI_3002G372600,19,7,32,11,5,20
SORBI_3002G372700,SORBI_3002G372700,32,14,22,15,7,31
SORBI_3002G372800,SORBI_3002G372800,2,16,4,34,5,2
SORBI_3002G372900,SORBI_3002G372900,,,,0.2,,
SORBI_3002G373001,SORBI_3002G373001,61,42,28,16,11,39
SORBI_3002G373100,SORBI_3002G373100,11,17,0.4,4,22,14
SORBI_3002G373200,SORBI_3002G373200,10,4,2,0.5,6,7
SORBI_3002G373300,SORBI_3002G373300,22,5,12,2,14,16
SORBI_3002G373500,SORBI_3002G373500,,,0.2,,,
SORBI_3002G373600,SORBI_3002G373600,47,21,89,16,5,38
SORBI_3002G373700,SORBI_3002G373700,,,,0.6,,
SORBI_3002G373800,SORBI_3002G373800,718,392,525,414,211,751
SORBI_3002G373900,SORBI_3002G373900,1,9,2,7,6,0.3
SORBI_3002G373950,SORBI_3002G373950,9,3,7,3,3,10
SORBI_3002G374100,SORBI_3002G374100,92,196,83,251,79,67
SORBI_3002G374200,SORBI_3002G374200,159,72,75,26,14,145
SORBI_3002G374300,SORBI_3002G374300,23,11,28,13,7,27
SORBI_3002G374400,SORBI_3002G374400,86,37,71,43,17,96
SORBI_3002G374500,SORBI_3002G374500,,0.1,4,,,0.1
SORBI_3002G374600,SORBI_3002G374600,141,159,383,97,102,141
SORBI_3002G374650,SORBI_3002G374650,6,9,21,18,1,7
SORBI_3002G374700,SORBI_3002G374700,3,10,0.3,0.8,7,4
SORBI_3002G374900,SORBI_3002G374900,174,122,170,185,83,203
SORBI_3002G375100,SORBI_3002G375100,200,123,153,274,73,255
SORBI_3002G375200,SORBI_3002G375200,6,12,11,10,6,7
SORBI_3002G375300,SORBI_3002G375300,22,28,26,26,19,19
SORBI_3002G375400,SORBI_3002G375400,4,2,3,50,2,3
SORBI_3002G375500,SORBI_3002G375500,4,0.8,2,18,0.3,3
SORBI_3002G375600,SORBI_3002G375600,7,2,0.8,2,0.2,7
SORBI_3002G375701,SORBI_3002G375701,31,1,1,4,2,21
SORBI_3002G375800,SORBI_3002G375800,49,61,114,96,59,54
SORBI_3002G375900,SORBI_3002G375900,64,3,32,3,3,61
SORBI_3002G375950,SORBI_3002G375950,,0.1,,,,
SORBI_3002G376000,SORBI_3002G376000,0.3,14,0.6,13,5,0.3
SORBI_3002G376100,SORBI_3002G376100,44,12,15,122,16,49
SORBI_3002G376200,SORBI_3002G376200,19,12,23,16,5,22
SORBI_3002G376300,SORBI_3002G376300,35,27,33,33,11,34
SORBI_3002G376400,SORBI_3002G376400,60,14,16,20,6,36
SORBI_3002G376500,SORBI_3002G376500,120,134,175,88,50,115
SORBI_3002G376600,SORBI_3002G376600,8,35,21,12,46,10
SORBI_3002G376700,SORBI_3002G376700,1,58,,71,160,4
SORBI_3002G376800,SORBI_3002G376800,0.1,10,,6,9,0.3
SORBI_3002G376900,SORBI_3002G376900,0.3,14,0.2,6,5,0.5
SORBI_3002G377000,SORBI_3002G377000,,0.5,0.1,0.1,0.3,
SORBI_3002G377100,SORBI_3002G377100,2,3,0.7,5,4,1
SORBI_3002G377200,SORBI_3002G377200,4,4,2,2,2,5
SORBI_3002G377300,SORBI_3002G377300,59,14,48,19,27,61
SORBI_3002G377400,SORBI_3002G377400,8,5,3,2,1,6
SORBI_3002G377501,SORBI_3002G377501,1,1,0.9,0.4,0.4,1
SORBI_3002G377600,SORBI_3002G377600,,,,18,,
SORBI_3002G377700,SORBI_3002G377700,,,,3,0.1,
SORBI_3002G377800,SORBI_3002G377800,43,14,26,16,12,46
SORBI_3002G377900,SORBI_3002G377900,6,5,2,5,5,5
SORBI_3002G378000,SORBI_3002G378000,7,16,16,9,19,6
SORBI_3002G378100,SORBI_3002G378100,54,16,38,28,13,51
SORBI_3002G378200,SORBI_3002G378200,71,67,100,86,47,76
SORBI_3002G378300,SORBI_3002G378300,25,47,36,42,19,24
SORBI_3002G378401,SORBI_3002G378401,28,63,41,49,19,33
SORBI_3002G378500,SORBI_3002G378500,2,0.3,0.6,0.2,0.1,0.9
SORBI_3002G378600,SORBI_3002G378600,203,14,79,19,13,176
SORBI_3002G378700,SORBI_3002G378700,8,2,5,3,3,9
SORBI_3002G378800,SORBI_3002G378800,13,21,20,15,13,13
SORBI_3002G378900,SORBI_3002G378900,53,18,27,13,8,50
SORBI_3002G379000,SORBI_3002G379000,6,6,22,5,0.6,4
SORBI_3002G379100,SORBI_3002G379100,0.3,19,0.1,21,0.5,0.4
SORBI_3002G379200,SORBI_3002G379200,0.9,58,1,84,1,0.7
SORBI_3002G379300,SORBI_3002G379300,7,3,6,5,3,7
SORBI_3002G379400,SORBI_3002G379400,44,57,5,98,52,43
SORBI_3002G379500,SORBI_3002G379500,598,241,408,502,171,723
SORBI_3002G379600,SORBI_3002G379600,216,306,375,440,214,220
SORBI_3002G379700,SORBI_3002G379700,,1,,41,1,
SORBI_3002G379750,SORBI_3002G379750,0.9,0.3,0.5,0.5,0.3,0.4
SORBI_3002G379800,SORBI_3002G379800,8,14,2,4,4,5
SORBI_3002G379866,SORBI_3002G379866,8,11,7,22,10,4
SORBI_3002G379932,SORBI_3002G379932,0.1,0.1,,,,0.1
SORBI_3002G380000,SORBI_3002G380000,95,50,41,50,28,114
SORBI_3002G380100,SORBI_3002G380100,12,2,9,3,3,11
SORBI_3002G380150,SORBI_3002G380150,8,2,2,1,2,5
SORBI_3002G380200,SORBI_3002G380200,94,45,77,57,44,88
SORBI_3002G380300,SORBI_3002G380300,0.2,109,0.9,6,0.3,0.4
SORBI_3002G380400,SORBI_3002G380400,73,76,28,31,74,78
SORBI_3002G380500,SORBI_3002G380500,124,53,42,45,47,77
SORBI_3002G380600,SORBI_3002G380600,207,131,166,93,57,207
SORBI_3002G380700,SORBI_3002G380700,154,109,69,114,38,176
SORBI_3002G380800,SORBI_3002G380800,0.1,,0.4,,,0.1
SORBI_3002G381100,SORBI_3002G381100,94,20,40,29,26,87
SORBI_3002G381200,SORBI_3002G381200,,,,5,0.7,
SORBI_3002G381300,SORBI_3002G381300,,3,,2,1,
SORBI_3002G381400,SORBI_3002G381400,0.1,9,0.2,15,1,0.1
SORBI_3002G381500,SORBI_3002G381500,0.6,7,0.7,0.6,,0.7
SORBI_3002G381600,SORBI_3002G381600,0.2,0.1,7,,,0.2
SORBI_3002G381700,SORBI_3002G381700,78,22,80,7,19,55
SORBI_3002G381750,SORBI_3002G381750,,0.6,0.3,,,
SORBI_3002G381800,SORBI_3002G381800,,3,,,,
SORBI_3002G381900,SORBI_3002G381900,37,17,33,13,8,37
SORBI_3002G382001,SORBI_3002G382001,0.4,0.1,0.3,,,0.1
SORBI_3002G382100,SORBI_3002G382100,0.1,12,32,12,,
SORBI_3002G382200,SORBI_3002G382200,0.1,0.1,,,,0.5
SORBI_3002G382300,SORBI_3002G382300,4,31,,3,0.3,4
SORBI_3002G382400,SORBI_3002G382400,,0.3,1,,,
SORBI_3002G382500,SORBI_3002G382500,36,4,4,2,7,40
SORBI_3002G382600,SORBI_3002G382600,51,29,29,33,22,45
SORBI_3002G382700,SORBI_3002G382700,7,14,12,5,25,7
SORBI_3002G382800,SORBI_3002G382800,2,1,1,0.8,2,2
SORBI_3002G382900,SORBI_3002G382900,,1,,,,0.1
SORBI_3002G382950,SORBI_3002G382950,1,,,,0.2,3
SORBI_3002G383000,SORBI_3002G383000,0.5,,,,,0.8
SORBI_3002G383050,SORBI_3002G383050,,,,0.2,,
SORBI_3002G383100,SORBI_3002G383100,64,16,105,56,19,78
SORBI_3002G383300,SORBI_3002G383300,27,12,20,14,7,25
SORBI_3002G383400,SORBI_3002G383400,0.9,3,1,0.8,28,0.7
SORBI_3002G383500,SORBI_3002G383500,8,0.7,114,1,0.1,1
SORBI_3002G383600,SORBI_3002G383600,41,43,48,47,26,40
SORBI_3002G383700,SORBI_3002G383700,34,30,101,5,13,41
SORBI_3002G383800,SORBI_3002G383800,129,80,173,141,67,129
SORBI_3002G383900,SORBI_3002G383900,19,9,13,36,9,23
SORBI_3002G384000,SORBI_3002G384000,0.6,13,0.4,5,1,0.4
SORBI_3002G384100,SORBI_3002G384100,0.1,8,13,0.5,0.1,0.1
SORBI_3002G384150,SORBI_3002G384150,22,4,6,1,4,16
SORBI_3002G384200,SORBI_3002G384200,21,9,11,8,5,21
SORBI_3002G384300,SORBI_3002G384300,28,18,23,19,8,36
SORBI_3002G384400,THI1-2,4,37,131,21,4512,6
SORBI_3002G384500,SORBI_3002G384500,,4,0.4,,0.1,
SORBI_3002G384600,SORBI_3002G384600,0.1,,,,,
SORBI_3002G384700,SORBI_3002G384700,63,39,67,128,45,93
SORBI_3002G384800,SORBI_3002G384800,2,0.3,0.8,0.4,0.4,2
SORBI_3002G384900,SORBI_3002G384900,,4,,,,
SORBI_3002G385000,SORBI_3002G385000,0.1,,0.1,,0.1,0.2
SORBI_3002G385100,SORBI_3002G385100,85,34,68,126,28,113
SORBI_3002G385200,SORBI_3002G385200,2,0.4,0.4,0.2,0.3,1
SORBI_3002G385300,SORBI_3002G385300,33,27,78,33,11,25
SORBI_3002G385400,SORBI_3002G385400,16,7,17,12,2,20
SORBI_3002G385450,SORBI_3002G385450,9,6,7,0.1,5,2
SORBI_3002G385500,SORBI_3002G385500,,4,0.2,165,,
SORBI_3002G385700,SORBI_3002G385700,0.4,1,0.1,0.1,4,0.3
SORBI_3002G385800,SORBI_3002G385800,28,10,13,45,16,23
SORBI_3002G385900,SORBI_3002G385900,41,53,60,43,27,49
SORBI_3002G386000,SORBI_3002G386000,8,1,2,15,8,7
SORBI_3002G386100,SORBI_3002G386100,4,88,5,81,49,13
SORBI_3002G386200,SORBI_3002G386200,10,11,0.5,14,4,2
SORBI_3002G386300,SORBI_3002G386300,63,19,50,32,22,68
SORBI_3002G386400,SORBI_3002G386400,70,39,46,17,1123,40
SORBI_3002G386500,SORBI_3002G386500,26,107,69,86,69,39
SORBI_3002G386600,SORBI_3002G386600,26,22,27,17,14,26
SORBI_3002G386700,SORBI_3002G386700,68,79,80,103,55,68
SORBI_3002G386800,SORBI_3002G386800,20,60,27,113,47,21
SORBI_3002G386900,SORBI_3002G386900,27,7,10,5,8,27
