GeneID,Gene Name,floral meristem,flower,plant embryo,root,shoot,vegetative meristem
ENSRNA049481313,snoR11,1,,,,1,4
ENSRNA049481316,snoZ152,2,,,2,,2
ENSRNA049481324,snoR31_Z110_Z27,23,11,12,24,8,20
ENSRNA049481349,snoZ199,8,4,3,3,5,14
ENSRNA049481630,U2,,1,,,,
ENSRNA049481632,snoR86,0.8,1,2,,,1
ENSRNA049481634,snoR86,2,,,1,,2
ENSRNA049481637,U12,,1,1,,,
ENSRNA049481680,snoZ221_snoR21b,2,0.7,2,2,1,0.9
ENSRNA049481687,U11,0.7,5,7,,0.8,0.7
ENSRNA049481743,U2,,0.8,,,,
ENSRNA049481744,U2,,0.4,1,,,0.5
ENSRNA049481768,MIR169_5,,,,,8,
ENSRNA049481951,MIR2118,2,2,3,,0.7,4
ENSRNA049481958,MIR2118,9,2,4,2,2,5
ENSRNA049481965,MIR2118,7,2,1,0.4,,7
ENSRNA049481984,MIR2118,5,2,5,2,1,5
ENSRNA049482006,U6atac,2,3,2,2,0.9,1
ENSRNA049482013,MIR2118,6,3,5,2,0.6,9
ENSRNA049482413,Plant_U3,7,10,22,2,3,2
ENSRNA049482419,U2,,0.4,,,,
ENSRNA049482424,snoR66,,5,9,,3,1
ENSRNA049482429,snoR118,1,2,3,3,2,3
ENSRNA049482436,U5,,0.7,,,,
ENSRNA049482440,snoZ199,8,0.9,6,4,2,7
ENSRNA049482445,SNORD34,3,,3,,3,7
ENSRNA049482448,snoR16,2,0.9,6,7,3,13
ENSRNA049482453,U5,,0.6,2,0.6,,3
ENSRNA049482456,snoR64,5,3,2,6,2,7
ENSRNA049482457,U5,,0.6,,,,
ENSRNA049482466,SNORD34,2,,,,2,2
ENSRNA049482471,Intron_gpII,1,,3,,1,
ENSRNA049482476,Plant_SRP,,0.3,,,,
ENSRNA049482478,snoZ279_R105_R108,4,10,37,4,4,6
ENSRNA049482484,snoU36a,6,,3,3,7,2
ENSRNA049482514,snoZ103,5,4,2,,2,2
ENSRNA049482525,snoR99,7,5,5,7,12,7
ENSRNA049482790,SSU_rRNA_eukarya,13,6,5,5,7,17
ENSRNA049482791,SSU_rRNA_eukarya,5,2,2,2,2,5
ENSRNA049482797,SSU_rRNA_eukarya,2,,,2,1,3
ENSRNA049482800,U4,,,,,2,
ENSRNA049483096,SSU_rRNA_eukarya,,0.1,0.3,,,0.1
ENSRNA049483104,Plant_U3,0.9,3,,1,2,0.4
ENSRNA049483105,Plant_U3,1,9,5,3,2,2
ENSRNA049483107,Plant_U3,1,2,4,2,1,2
ENSRNA049483108,Plant_U3,,3,25,2,0.5,
ENSRNA049483111,Plant_U3,,10,1,5,,
ENSRNA049483115,U1,,5,,,,
ENSRNA049483118,LSU_rRNA_eukarya,688,165,83,134,107,1538
ENSRNA049483120,Plant_U3,0.5,5,,,,
ENSRNA049483131,SNORD25,1,,2,5,,
ENSRNA049483144,SNORD25,0.9,,2,3,,
ENSRNA049483158,U5,,,,,,0.8
ENSRNA049483185,mir-395,,,,,1,
ENSRNA049483199,snoZ278,,,,,1,0.8
ENSRNA049483207,snoZ278,2,,,,,
ENSRNA049483594,SSU_rRNA_eukarya,0.6,0.1,,,0.2,0.6
ENSRNA049483597,SSU_rRNA_eukarya,0.6,0.2,0.3,0.2,0.3,1
ENSRNA049483603,SSU_rRNA_eukarya,2,0.3,0.3,1,2,2
ENSRNA049483609,LSU_rRNA_eukarya,4,,0.6,,1,0.9
ENSRNA049483611,LSU_rRNA_eukarya,0.7,,,,,0.6
ENSRNA049483650,SSU_rRNA_eukarya,2,0.2,0.8,0.3,,2
ENSRNA049483653,SSU_rRNA_eukarya,0.8,0.3,0.1,0.3,0.2,1
ENSRNA049483655,SSU_rRNA_eukarya,7,2,19,9,2,11
ENSRNA049483659,SSU_rRNA_eukarya,0.6,0.2,0.4,0.4,0.2,0.8
ENSRNA049483660,SSU_rRNA_eukarya,0.1,0.1,0.3,0.1,,0.2
ENSRNA049483662,SSU_rRNA_eukarya,0.2,,0.1,0.1,0.1,0.2
ENSRNA049483664,LSU_rRNA_eukarya,0.9,0.1,0.5,0.1,0.1,1
ENSRNA049483675,5_8S_rRNA,2,,,,,
ENSRNA049483677,5_8S_rRNA,0.6,,,,,
ENSRNA049483680,U1,0.5,0.5,,,,2
ENSRNA049483684,snoR2,4,0.5,3,7,1,3
ENSRNA049483690,snoZ107_R87,14,9,11,35,10,23
ENSRNA049483692,snoR134,3,2,,5,0.8,2
ENSRNA049483697,snoZ223,15,11,5,19,10,4
ENSRNA049483710,snoZ103,,,,3,2,2
ENSRNA049483713,snoZ103,,,2,,,3
ENSRNA049483717,snoZ103,1,3,10,5,2,2
ENSRNA049483719,snoZ103,,,,,,2
