GeneID	GeneName	leaf	early_infl	emer_infl	seed_5DAP	seed_10DAP	anther	pistil	embryo	endosperm
SORBI_3001G009800	SORBI_3001G009800	72	190	206	121	94	48	190	127	84
SORBI_3001G009900	SORBI_3001G009900	3	8	9	6	1	2	10	5	1
SORBI_3001G010000	SORBI_3001G010000		1	2	1		2		1	
SORBI_3001G010100	SORBI_3001G010100	317	81	89	126	31	7	171	37	20
SORBI_3001G010200	SORBI_3001G010200	1	3	20	18	4	56	10	10	3
SORBI_3001G010300	SORBI_3001G010300	10	15	17	15	13	17	16	39	12
SORBI_3001G010400	SORBI_3001G010400	24	96	106	108	35	15	95	83	41
SORBI_3001G010500	SORBI_3001G010500		3	2	2		10	4	9	1
SORBI_3001G010600	SORBI_3001G010600	35	121	101	159	50	43	133	106	46
SORBI_3001G010700	SORBI_3001G010700	47	175	172	170	90	107	167	122	76
SORBI_3001G010800	SORBI_3001G010800	27	39	31	28	12	44	48	31	21
SORBI_3001G010900	SORBI_3001G010900	48	7	10	14	4	8	8	5	5
SORBI_3001G011000	SORBI_3001G011000	24	124	160	180	37	263	101	128	25
SORBI_3001G011100	SORBI_3001G011100		1					1	1	
SORBI_3001G011200	SORBI_3001G011200	69	183	168	385	92	137	233	244	106
SORBI_3001G011300	SORBI_3001G011300	50	61	36	61	38	22	55	36	36
SORBI_3001G011400	SORBI_3001G011400	23	39	33	25	13	28	20	2	17
SORBI_3001G011600	SORBI_3001G011600	80	26	22	18	10	21	21	12	7
SORBI_3001G011700	SORBI_3001G011700	127	14	9	21	11	8	14	13	5
SORBI_3001G011800	SORBI_3001G011800	6	8	6	14	6	7	15	7	19
SORBI_3001G012000	SORBI_3001G012000	18			6	2				
SORBI_3001G012100	SORBI_3001G012100	26	50	31	41	21	42	46	20	19
SORBI_3001G012200	SORBI_3001G012200	169	149	12	321	51	19	84	165	2
SORBI_3001G012300	CYP79A1	323	61		15	7			70	1
SORBI_3001G012400	UGT85B1	201	67	55	300	93	147	52	37	15
SORBI_3001G012500	SORBI_3001G012500	758	245	13	284	247	8	47	354	66
SORBI_3001G012600	SORBI_3001G012600	44	39	8	20	4		11	25	
SORBI_3001G012700	SORBI_3001G012700	5	2	17	1	2			13	4
SORBI_3001G012800	SORBI_3001G012800	12	2	7	20	3	5	21	2	6
SORBI_3001G012900	SORBI_3001G012900	4	20	20	18	5	23	13	16	4
SORBI_3001G013000	SORBI_3001G013000	23	65	43	48	15	3	42	31	15
SORBI_3001G013100	SORBI_3001G013100	10	45	35	35	22	7	42	29	18
SORBI_3001G013200	SORBI_3001G013200	6	43	34	47	9	52	42	18	7
SORBI_3001G013300	SORBI_3001G013300	10	28	23	20	19	16	30	42	16
SORBI_3001G013400	SORBI_3001G013400	1	21	11	38	5	10	27	15	2
SORBI_3001G013500	SORBI_3001G013500	35	49	55	81	19	38	71	86	16
SORBI_3001G013600	SORBI_3001G013600	6	24	10	15	8	22	31	21	8
SORBI_3001G013800	SORBI_3001G013800	8	15	17	71	48	25	111	18	59
SORBI_3001G013900	SORBI_3001G013900		4	3	4	1		4	4	
SORBI_3001G014000	SORBI_3001G014000	4	10	9	13	10		32	2	8
SORBI_3001G014100	SORBI_3001G014100	14	32	33	30	15	23	38	26	15
SORBI_3001G014200	SORBI_3001G014200	47	38	68	64	31	134	51	55	16
SORBI_3001G014300	SORBI_3001G014300	14	41	42	42	18	31	40	31	11
SORBI_3001G014500	SORBI_3001G014500	13	24	28	58	17	20	31	35	10
