GeneID	GeneName	leaf	early_infl	emer_infl	seed_5DAP	seed_10DAP	anther	pistil	embryo	endosperm
SORBI_3001G280500	SORBI_3001G280500	8	26	49	51	30	154	29	29	20
SORBI_3001G280700	SORBI_3001G280700	5	2			4			1	18
SORBI_3001G280900	SORBI_3001G280900	14	37	32	18	19	9	28	38	10
SORBI_3001G281100	SORBI_3001G281100	24	69	79	76	27	61	76	65	21
SORBI_3001G281300	SORBI_3001G281300	14	61	135	192	26	75	145	14	4
SORBI_3001G281400	SORBI_3001G281400	44	51	58	53	27	38	48	46	20
SORBI_3001G281500	SORBI_3001G281500	60	47	38	46	23	9	51	44	29
SORBI_3001G281600	SORBI_3001G281600	27	44	42	33	19	20	40	32	14
SORBI_3001G281700	SORBI_3001G281700	11	27	24	26	12	53	38	28	13
SORBI_3001G281800	SORBI_3001G281800	41	31	26	34	7	5	57	15	12
SORBI_3001G281900	SORBI_3001G281900	18	78	76	53	19	56	64	47	16
SORBI_3001G282000	SORBI_3001G282000	2	37	79	60	19	10	33	13	17
SORBI_3001G282100	SORBI_3001G282100	13	35	53	59	19	40	98	54	22
SORBI_3001G282200	SORBI_3001G282200	9	42	36	61	27	143	50	53	19
SORBI_3001G282300	SORBI_3001G282300	1	10	7	5	1	9	10	8	1
SORBI_3001G282400	SORBI_3001G282400		1	3				2		
SORBI_3001G282500	SORBI_3001G282500	125	164	218	247	112	412	173	162	85
SORBI_3001G282600	SORBI_3001G282600	15	52	59	55	20	17	65	18	27
SORBI_3001G282700	SORBI_3001G282700	17	36	94	93	73	50	75	26	40
SORBI_3001G282800	SORBI_3001G282800	4	4	10	3	1	12	4	14	
SORBI_3001G282900	SORBI_3001G282900	35	131	774	295	91	546	203	79	107
SORBI_3001G283000	SORBI_3001G283000	2		2	4	2	4	2		
SORBI_3001G283100	SORBI_3001G283100	499		10	7		17	8		2
SORBI_3001G283200	SORBI_3001G283200	70	176	163	127	55	95	120	147	42
SORBI_3001G283300	SORBI_3001G283300		1	1	1			1	2	
SORBI_3001G283500	SORBI_3001G283500	16	33	45	35	17	33	47	13	18
SORBI_3001G283600	SORBI_3001G283600	31	54	73	60	18	78	52	37	16
SORBI_3001G283700	SORBI_3001G283700	66	19	27	22	11	25	16	17	7
SORBI_3001G283800	SORBI_3001G283800	2	1							
SORBI_3001G284100	SORBI_3001G284100	158	126	191	134	77	85	122	124	82
SORBI_3001G284200	SORBI_3001G284200	21	22	51	51	25	2	22	38	47
SORBI_3001G284400	SORBI_3001G284400	5	27	23	35	7	84	19	28	9
SORBI_3001G284425	SORBI_3001G284425		8	1	1	1	14	7	6	1
SORBI_3001G284475	SORBI_3001G284475	3	2	3	5	1	1	2	2	2
SORBI_3001G284500	SORBI_3001G284500	1	2			2	1	2	1	
SORBI_3001G284600	SORBI_3001G284600	9	5	6		2	14			2
SORBI_3001G284700	SORBI_3001G284700				2	12				10
SORBI_3001G284800	SORBI_3001G284800	2	1	3	3		4	2		
SORBI_3001G284900	SORBI_3001G284900		31	7	23	1	1	39	17	
SORBI_3001G285000	SORBI_3001G285000	11	11	6	6	7	7	14	14	12
SORBI_3001G285100	SORBI_3001G285100			2					3	
SORBI_3001G285200	SORBI_3001G285200	6	337	245	95	15	41	162	80	13
SORBI_3001G285300	SORBI_3001G285300	15	42	45	43	28	25	55	60	28
SORBI_3001G285400	SORBI_3001G285400	16	28	35	17	6	4	17		8
SORBI_3001G285500	SORBI_3001G285500						2			
SORBI_3001G285800	SORBI_3001G285800	6	22	15	23	5	27	23	13	4
SORBI_3001G286000	SORBI_3001G286000	3	7	2	41	22	40	13	103	27
SORBI_3001G286050	SORBI_3001G286050						2			
SORBI_3001G286100	SORBI_3001G286100	2	8	5	9	7	16	10	17	4
SORBI_3001G286200	SORBI_3001G286200	26	95	60	103	36	107	96	52	32
SORBI_3001G286300	SORBI_3001G286300	7	17	15	19	12	28	19	18	11
SORBI_3001G286400	SORBI_3001G286400		22	3	15	1	4	19	7	
SORBI_3001G286500	SORBI_3001G286500	12	22	25	22	15	15	21	39	7
SORBI_3001G286600	SORBI_3001G286600	108	24	23	33	20	28	31	39	17
SORBI_3001G286700	SORBI_3001G286700		97	13	16	3		68	20	
SORBI_3001G286800	SORBI_3001G286800		2						1	
SORBI_3001G287000	SORBI_3001G287000			5	1	2	23	1		
SORBI_3001G287201	SORBI_3001G287201	1	1	2			2	1	3	
SORBI_3001G287400	SORBI_3001G287400			13			261	1		
SORBI_3001G287500	SORBI_3001G287500	17	73	57	28	25	35	49	31	13
SORBI_3001G287600	SORBI_3001G287600	53	92	32	109	29	42	130	30	25
SORBI_3001G287700	SORBI_3001G287700						4			
SORBI_3001G287800	SORBI_3001G287800	50	42	65	53	79	196	59	52	81
SORBI_3001G287900	SORBI_3001G287900			4	25	6		9	2	3
SORBI_3001G288000	SORBI_3001G288000	1	32	29	93	16	49	75	1	14
SORBI_3001G288100	SORBI_3001G288100	64	24	15	5	8	11	16	14	8
SORBI_3001G288200	SORBI_3001G288200	3	3	5	2	2	1	3		2
SORBI_3001G288301	SORBI_3001G288301				1		2		2	
SORBI_3001G288400	SORBI_3001G288400			10			327	3		
SORBI_3001G288601	SORBI_3001G288601		2	2			4			2
SORBI_3001G288700	SORBI_3001G288700	8	7	9	7	3	7	6	12	2
SORBI_3001G288800	SORBI_3001G288800	12	17	17	28	10	12	24	21	9
SORBI_3001G288900	SORBI_3001G288900	9	27	15	76	5	26	31	9	5
SORBI_3001G289000	SORBI_3001G289000				1					
SORBI_3001G289100	SORBI_3001G289100	16	50	8	17	15	1	33	35	8
SORBI_3001G289200	SORBI_3001G289200		4	5	8	1	6	8	5	
SORBI_3001G289400	SORBI_3001G289400	34	56	80	64	64	80	34	33	74
SORBI_3001G289500	SORBI_3001G289500	245	18	22	25	14	22	22	10	19
SORBI_3001G289600	SORBI_3001G289600	46	99	80	48	40	56	92	62	37
SORBI_3001G289700	SORBI_3001G289700	3	11	9	13	4	11	11	7	2
SORBI_3001G289800	SORBI_3001G289800	23	57	49	25	25	42	48	39	21
SORBI_3001G289900	SORBI_3001G289900	3	153	65	127	24	26	224	71	14
SORBI_3001G290000	SORBI_3001G290000	31	39	74	57	27	46	38	39	28
SORBI_3001G290100	SORBI_3001G290100	20	51	54	33	30	31	62	63	28
SORBI_3001G290200	SORBI_3001G290200	16	31	23	13	10	6	29	10	12
SORBI_3001G290300	SORBI_3001G290300	2	4	6	8	3	7	5	14	3
SORBI_3001G290400	SORBI_3001G290400	5	9	1	5	2		1	2	5
SORBI_3001G290500	SORBI_3001G290500	1	76	46	74	15	3	89	79	4
SORBI_3001G290600	SORBI_3001G290600	91	136	119	116	26	100	163	471	16
SORBI_3001G290700	SORBI_3001G290700	40	56	59	70	20	54	62	85	14
SORBI_3001G290766	SORBI_3001G290766	5	30	28	38	6	32	34	25	4
SORBI_3001G290832	SORBI_3001G290832		1	1	2				2	
SORBI_3001G290900	SORBI_3001G290900				2					
SORBI_3001G291000	SORBI_3001G291000	6	10	14	9	3	3	15	13	2
SORBI_3001G291100	SORBI_3001G291100	145	266	190	135	46	124	194	87	44
SORBI_3001G291200	SORBI_3001G291200	345	1	13	1					
SORBI_3001G291300	SORBI_3001G291300	358		4						
SORBI_3001G291400	SORBI_3001G291400	8	4	8	8	2	2	7	4	2
SORBI_3001G291500	SORBI_3001G291500	298		5						
SORBI_3001G291600	SORBI_3001G291600	22		1						
SORBI_3001G291800	SORBI_3001G291800	66	204	177	229	156	150	189	215	134
SORBI_3001G291900	SORBI_3001G291900	99	29	29	37	10	13	27	29	11
SORBI_3001G292000	SORBI_3001G292000	49	2	3	13	1	5	5	21	3
SORBI_3001G292200	SORBI_3001G292200	12	11	17	9	10	6	13	7	8
SORBI_3001G292400	SORBI_3001G292400	9	8	2	9	1		21	1	2
SORBI_3001G292500	SORBI_3001G292500		5	5	5	1	1	4	5	
SORBI_3001G292700	SORBI_3001G292700	35	12	15	12	4	10	11	8	2
SORBI_3001G292800	SORBI_3001G292800		2	2	2		3	2	3	
SORBI_3001G292900	SORBI_3001G292900	4	10	8	8	2	19	8	5	
SORBI_3001G293100	SORBI_3001G293100								2	
SORBI_3001G293200	SORBI_3001G293200						1			
SORBI_3001G293300	SORBI_3001G293300	57	92	76	121	32	29	78	47	29
SORBI_3001G293400	SORBI_3001G293400	8	36	6	5	1		20	4	2
SORBI_3001G293550	SORBI_3001G293550						1			
SORBI_3001G293600	SORBI_3001G293600	5	25	10	6	8	18	14	13	13
SORBI_3001G293700	SORBI_3001G293700	20	31	43	33	58	19	36	79	60
SORBI_3001G293800	SORBI_3001G293800	233	48	27	30	13	16	67	15	35
SORBI_3001G294000	SORBI_3001G294000	39	59	72	81	24	51	90	26	24
SORBI_3001G294100	SORBI_3001G294100	15	31	31	19	27	37	30	33	28
SORBI_3001G294150	SORBI_3001G294150			1	1		2			
SORBI_3001G294200	SORBI_3001G294200	30	78	50	46	20	18	73	54	18
SORBI_3001G294300	SORBI_3001G294300	20	40	57	82	18	61	63	25	12
SORBI_3001G294400	SORBI_3001G294400	1	65	50	30	13	4	35	10	14
SORBI_3001G294500	SORBI_3001G294500		5	37	4	2	559	7	33	
SORBI_3001G294600	SORBI_3001G294600		1	2	2	3	2	2	2	2
SORBI_3001G294700	SORBI_3001G294700	20	52	26	39	25	31	92	38	40
SORBI_3001G294800	SORBI_3001G294800						3			
SORBI_3001G294900	SORBI_3001G294900	48	94	84	85	56	91	91	99	46
SORBI_3001G295000	SORBI_3001G295000		6		3			2		
SORBI_3001G295100	SORBI_3001G295100		3	2	4	3	25	5	2	2
SORBI_3001G295200	SORBI_3001G295200	95	355	209	622	290	98	388	649	126
SORBI_3001G295300	SORBI_3001G295300	156	51	55	98	25	21	70	21	32
SORBI_3001G295400	SORBI_3001G295400		16	10	27	3	7	21	22	1
SORBI_3001G295500	SORBI_3001G295500	3	3	4	5	4	6	4	3	3
SORBI_3001G295600	SORBI_3001G295600	204	38	36	17	28	9	94	32	27
SORBI_3001G295700	SORBI_3001G295700	17								
SORBI_3001G295800	SORBI_3001G295800		17	1	1			5	5	
SORBI_3001G295900	SORBI_3001G295900		25	5	4	12		9	8	11
SORBI_3001G296000	SORBI_3001G296000		6	1	2			7		
SORBI_3001G296100	SORBI_3001G296100		60	26	32	12	4	49	50	7
SORBI_3001G296300	SORBI_3001G296300	60	1		4		11	14	2	2
SORBI_3001G296400	SORBI_3001G296400	3	6	7	5	1	3	4	4	1
SORBI_3001G296500	SORBI_3001G296500	24	69	60	43	33	63	88	45	26
SORBI_3001G296600	SORBI_3001G296600	2	3	3	4	2	3	7	3	
SORBI_3001G296700	SORBI_3001G296700	3	10	4	7	3	2	19	74	9
SORBI_3001G296800	SORBI_3001G296800	5	52	38	31	17	24	52	36	9
SORBI_3001G296900	SORBI_3001G296900	105	109	169	93	83	105	134	78	102
SORBI_3001G297000	SORBI_3001G297000	6	15	6	6	2	1	7	2	4
SORBI_3001G297200	SORBI_3001G297200	3	7	7	2		81	8	10	
SORBI_3001G297300	SORBI_3001G297300				1	6				9
SORBI_3001G297400	SORBI_3001G297400	2								
SORBI_3001G297500	SORBI_3001G297500	49	28	23	32	15	29	70	60	20
SORBI_3001G297600	SORBI_3001G297600	8	7	22	9	23	8	13	7	53
SORBI_3001G297700	SORBI_3001G297700				7	56			2	28
SORBI_3001G297800	SORBI_3001G297800					76			2	141
SORBI_3001G297900	SORBI_3001G297900	3	22	10	19	17	2	23	20	38
SORBI_3001G298100	SORBI_3001G298100	2	20	20	8	7	3	20	2	42
SORBI_3001G298200	SORBI_3001G298200						1			
SORBI_3001G298300	SORBI_3001G298300	52	75	103	81	45	38	72	28	114
SORBI_3001G298400	SORBI_3001G298400	16						1		
SORBI_3001G298500	SORBI_3001G298500	3	14	3	3	1	9			4
SORBI_3001G298600	SORBI_3001G298600	18	18	16	20	8	15	28	20	11
SORBI_3001G298700	SORBI_3001G298700			1				1		
SORBI_3001G298800	SORBI_3001G298800	5	53	27	42	11	9	47	16	4
SORBI_3001G298900	SORBI_3001G298900	41	111	77	60	44	33	111	61	35
SORBI_3001G299300	SORBI_3001G299300	1							3	
SORBI_3001G299400	SORBI_3001G299400	29					2			
SORBI_3001G299500	SORBI_3001G299500	7	5	8	11	3	3	6	4	3
SORBI_3001G299600	SORBI_3001G299600		51	4	17	2	1	49	4	
SORBI_3001G299700	SORBI_3001G299700	23	50	54	33	57	29	45	54	30
SORBI_3001G299800	SORBI_3001G299800	1	6	3	4	4		6	5	3
SORBI_3001G299900	SORBI_3001G299900	4				2	1			
SORBI_3001G300000	SORBI_3001G300000	2	16	13	17	4	10	18	16	3
SORBI_3001G300066	SORBI_3001G300066						5			2
SORBI_3001G300100	SORBI_3001G300100	8	7	11	10	7	8	7	4	3
SORBI_3001G300201	SORBI_3001G300201	34						1		
SORBI_3001G300301	SORBI_3001G300301	26								
SORBI_3001G300400	SORBI_3001G300400	2	353	136	307	43	79	424	128	90
SORBI_3001G300500	SORBI_3001G300500	7	5	1	23	5		4		18
SORBI_3001G300600	SORBI_3001G300600	7	7	7	10	4	2	8	8	2
SORBI_3001G300700	SORBI_3001G300700	6	8	5						
SORBI_3001G300750	SORBI_3001G300750	1	1					2		
SORBI_3001G300800	SORBI_3001G300800	150	33	181	315	73	8	7	1	19
SORBI_3001G300900	SORBI_3001G300900	6	19	7	16	6	6	13	16	2
SORBI_3001G301000	SORBI_3001G301000		4							
SORBI_3001G301100	SORBI_3001G301100				7	4				5
SORBI_3001G301200	SORBI_3001G301200	20	63	65	47	20	79	49	35	10
SORBI_3001G301300	SORBI_3001G301300		3	9			3			
SORBI_3001G301400	SORBI_3001G301400		4							
SORBI_3001G301500	SORBI_3001G301500	40	17	24	23	28	3	14	7	26
SORBI_3001G301600	SORBI_3001G301600	32	14	22	11	19	10	16	4	42
SORBI_3001G301700	SORBI_3001G301700	15	27	31	29	9	37	32	34	11
SORBI_3001G301800	SORBI_3001G301800	43	38	40	47	13	41	43	34	14
SORBI_3001G301900	SORBI_3001G301900		4	1				4		
SORBI_3001G302100	SORBI_3001G302100	4	8	4	7	1		6	4	1
SORBI_3001G302200	SORBI_3001G302200	51	2	1	7	4		6		1
SORBI_3001G302300	SORBI_3001G302300	7	3	36	8	1		7		2
SORBI_3001G302400	SORBI_3001G302400	8	13	13	6	3	2	7	11	3
SORBI_3001G302500	SORBI_3001G302500		1					2		
SORBI_3001G302600	SORBI_3001G302600		21	3		2		1	17	
SORBI_3001G302666	SORBI_3001G302666	3	3	4	4	2	1	4		2
SORBI_3001G302732	SORBI_3001G302732	8	17	13	21	12		17	18	21
SORBI_3001G302800	SORBI_3001G302800	123	21	7	11	3		19	1	
SORBI_3001G302900	SORBI_3001G302900	11	62	37	67	31	67	40	22	23
SORBI_3001G303000	SORBI_3001G303000	2	6	2	2			8		
SORBI_3001G303100	SORBI_3001G303100	14	15	14	15	6	5	20	8	6
SORBI_3001G303200	SORBI_3001G303200	226	32	39	64	36	32	60	45	94
SORBI_3001G303300	SORBI_3001G303300	1	12	6	12	5	32	22	6	4
SORBI_3001G303675	SORBI_3001G303675	5	13	9	11	7	6	12	11	5
SORBI_3001G303750	SORBI_3001G303750		7	27						
SORBI_3001G303825	SORBI_3001G303825		6	2		1	2	2		
SORBI_3001G303900	SORBI_3001G303900	1	13	37	24	5	128	10	8	4
SORBI_3001G304000	SORBI_3001G304000	14	33	48	49	13	66	36	31	9
SORBI_3001G304100	SORBI_3001G304100		1		2	1				
SORBI_3001G304201	SORBI_3001G304201			8						
SORBI_3001G304300	SORBI_3001G304300		21					1		
SORBI_3001G304400	SORBI_3001G304400	58	172	127	212	63	132	182	148	88
SORBI_3001G304500	SORBI_3001G304500	17	35	23	6	8	5	9	53	4
SORBI_3001G304600	SORBI_3001G304600								1	
SORBI_3001G304700	SORBI_3001G304700	25	8	38	21	26	90	3	4	125
SORBI_3001G304800	SORBI_3001G304800		6	2	1			4	7	
SORBI_3001G304900	SORBI_3001G304900	2	4	7	4	4	23	2		5
SORBI_3001G305000	SORBI_3001G305000		2	9	4	3	51	2		4
SORBI_3001G305100	SORBI_3001G305100		10	2	5	17				11
SORBI_3001G305200	SORBI_3001G305200		2	2		2	14			2
SORBI_3001G305300	SORBI_3001G305300		11	1						
SORBI_3001G305500	SORBI_3001G305500	25	68	100	39	8	19	34	11	11
SORBI_3001G305600	SORBI_3001G305600	104	62	69	66	58	57	89	48	48
SORBI_3001G305700	SORBI_3001G305700	18	23	18	17	6	3	24	18	8
SORBI_3001G305800	SORBI_3001G305800	8	3	3	2	1	2			4
SORBI_3001G305900	SORBI_3001G305900	2	18	19	14	15	56	22	19	13
SORBI_3001G306000	SORBI_3001G306000	6	3	8						
SORBI_3001G306200	SORBI_3001G306200			17			2055	16		
SORBI_3001G306400	SORBI_3001G306400			29			1653	17		
SORBI_3001G306500	SORBI_3001G306500			69			2569	23		
SORBI_3001G306700	SORBI_3001G306700	21	42	25	31	11	19	41	16	19
SORBI_3001G306800	SORBI_3001G306800	4	14	10	11	7	29	14	11	11
SORBI_3001G306900	SORBI_3001G306900	11	35	25	23	18	12	35	29	13
SORBI_3001G307000	SORBI_3001G307000				1			2	47	11
SORBI_3001G307200	SORBI_3001G307200		49	48	15	4	8	3		3
SORBI_3001G307300	SORBI_3001G307300		2	5						
SORBI_3001G307400	SORBI_3001G307400	2		1	38	19		4		8
SORBI_3001G307500	SORBI_3001G307500	2	1	6	1		24	1		
SORBI_3001G307600	SORBI_3001G307600		7	4	9	3	1	5	14	1
SORBI_3001G307700	SORBI_3001G307700			28			13			
SORBI_3001G307800	SORBI_3001G307800		7							
SORBI_3001G307900	SORBI_3001G307900	3	6	8	10	3	7	7	5	3
SORBI_3001G308000	SORBI_3001G308000	1	4	7	1		95	2	23	
SORBI_3001G308100	SORBI_3001G308100	2								
SORBI_3001G308200	SORBI_3001G308200	66	12	32	15	3	2	8	7	3
SORBI_3001G308300	SORBI_3001G308300	9	39	10	9	7	3	49	23	21
SORBI_3001G308400	SORBI_3001G308400	13	41	48	37	18	61	33	50	13
SORBI_3001G308450	SORBI_3001G308450	2	20	21	37	2	45	17	19	3
SORBI_3001G308500	SORBI_3001G308500		18	15	11	3	44	14	14	2
SORBI_3001G308600	SORBI_3001G308600						1			
SORBI_3001G308700	SORBI_3001G308700	2	3	2	4	2	11	3	1	2
SORBI_3001G308800	SORBI_3001G308800	130	46	53	84	14	79	74	13	12
SORBI_3001G308900	SORBI_3001G308900		9	9	12	4	7	14	10	3
SORBI_3001G309000	SORBI_3001G309000			1	2	64				19
SORBI_3001G309100	SORBI_3001G309100	28	62	41	42	34	32	70	46	32
SORBI_3001G309200	SORBI_3001G309200	13	107	51	99	47	229	94	98	46
SORBI_3001G309300	SORBI_3001G309300	39	4	12	8	2	2	2		2
SORBI_3001G309400	SORBI_3001G309400	49	41	68	54	30	66	70	32	31
SORBI_3001G309500	SORBI_3001G309500	10	21	24	27	8	35	27	14	6
SORBI_3001G309600	SORBI_3001G309600		2		14	6	1		6	3
SORBI_3001G309732	SORBI_3001G309732								2	
SORBI_3001G309800	SORBI_3001G309800	1	4	5	6	1	1	4	2	2
SORBI_3001G309900	SORBI_3001G309900	12	26	23	32	9	1	9		3
SORBI_3001G310000	SORBI_3001G310000				1					
SORBI_3001G310100	SORBI_3001G310100	41	50	64	49	15	143	87	75	16
SORBI_3001G310133	SORBI_3001G310133							1		
SORBI_3001G310200	SORBI_3001G310200		13					2		
SORBI_3001G310300	SORBI_3001G310300		52	6	1			5		
SORBI_3001G310500	SORBI_3001G310500	7		12		20	18		1	53
SORBI_3001G310700	SORBI_3001G310700	13	7	22	12	41	8	6	13	58
SORBI_3001G310800	SORBI_3001G310800	12	3	6				1		
SORBI_3001G310900	SORBI_3001G310900	2	35	5	2			10		
SORBI_3001G311000	SORBI_3001G311000	24	3	4	6	4	17	7	13	16
SORBI_3001G311100	SORBI_3001G311100	62	112	132	138	125	116	129	66	106
SORBI_3001G311200	SORBI_3001G311200	2		2		4	155	1	1738	460
SORBI_3001G311400	SORBI_3001G311400						3			
SORBI_3001G311500	SORBI_3001G311500	6	12	14	11	8	12	11	15	5
SORBI_3001G311601	SORBI_3001G311601			1	1			2	6	
SORBI_3001G311800	SORBI_3001G311800		1					1		
SORBI_3001G311833	SORBI_3001G311833	2	6	3	3	2	3	8	6	
SORBI_3001G312000	SORBI_3001G312000							5		
SORBI_3001G312100	SORBI_3001G312100				7	2				
SORBI_3001G312200	SORBI_3001G312200				43					
SORBI_3001G312300	SORBI_3001G312300				4					
SORBI_3001G312350	SORBI_3001G312350				9				2	
SORBI_3001G312400	SORBI_3001G312400	10	10	15	15	4	8	9	14	3
SORBI_3001G312500	SORBI_3001G312500	13	24	27	17	10	63	25	3	15
SORBI_3001G312600	SORBI_3001G312600	2	18	5	17	7	1	22	40	10
SORBI_3001G312700	SORBI_3001G312700		4	4	4		4	5	6	
SORBI_3001G312801	SORBI_3001G312801	10	37	34	21	9	12	42	7	19
SORBI_3001G312900	SORBI_3001G312900	75	132	77	59	33	17	86	102	33
SORBI_3001G313000	SORBI_3001G313000	2								
SORBI_3001G313100	SORBI_3001G313100	23	56	58	25	44	7	27	264	145
SORBI_3001G313150	SORBI_3001G313150					1	6	1		2
SORBI_3001G313200	SORBI_3001G313200	32	602	109	340	48	53	605	58	39
SORBI_3001G313301	SORBI_3001G313301	5	19	20	7	5	10	17	12	5
SORBI_3001G313400	SORBI_3001G313400	7	17	21	16	10	29	21	7	9
SORBI_3001G313500	SORBI_3001G313500	49	53	82	64	66	154	61	67	70
SORBI_3001G313700	SORBI_3001G313700	21	43	69	34	25	30	54	48	18
SORBI_3001G313800	SORBI_3001G313800	1	5	3	2			35	3	
SORBI_3001G313900	SORBI_3001G313900	48	53	49	65	24	36	53	26	36
SORBI_3001G314000	SORBI_3001G314000		58	3	10		2	9	2	
SORBI_3001G314100	SORBI_3001G314100								1	
SORBI_3001G314200	SORBI_3001G314200	186	26	58	107	29	8	74	14	42
SORBI_3001G314300	SORBI_3001G314300	37	3	2	3					
SORBI_3001G314400	SORBI_3001G314400	35	9	18	8	1	13	10	4	1
SORBI_3001G314500	SORBI_3001G314500	126	85	142	136	56	121	100	37	52
SORBI_3001G314700	SORBI_3001G314700	9								
SORBI_3001G314800	SORBI_3001G314800	5		2			3			
SORBI_3001G314900	SORBI_3001G314900	22		11	2	2				2
SORBI_3001G315000	SORBI_3001G315000			12			206	2		
SORBI_3001G315100	SORBI_3001G315100	7	10	14	13	6	11	12	15	8
SORBI_3001G315200	SORBI_3001G315200	1	6	3						
SORBI_3001G315400	SORBI_3001G315400	10	63	44	28	21	13	47	49	14
SORBI_3001G315500	SORBI_3001G315500	16	66	32	44	18	19	61	33	12
SORBI_3001G315600	SORBI_3001G315600				1	6			12	5
SORBI_3001G315700	SORBI_3001G315700	37	48	39	32	12	5	34	28	9
SORBI_3001G315800	SORBI_3001G315800	10	12	7	10	3	5	18	6	4
SORBI_3001G316000	SORBI_3001G316000		13	21	2			13		
SORBI_3001G316100	SORBI_3001G316100	79	7	38	5	4	4	4	1	2
SORBI_3001G316200	SORBI_3001G316200	9	38	31	29	7	42	43	35	4
SORBI_3001G316300	SORBI_3001G316300		10	4		1	88	2	4	
SORBI_3001G316400	SORBI_3001G316400	7		2	2					8
SORBI_3001G316500	SORBI_3001G316500		10	3	10	2		19	2	2
SORBI_3001G316700	SORBI_3001G316700	8	23	22	15	19	16	23	18	20
SORBI_3001G316900	SORBI_3001G316900		11	6	33	2		19	2	2
SORBI_3001G317000	SORBI_3001G317000	39	11	11	22	20	4	7	5	8
SORBI_3001G317200	SORBI_3001G317200	2								
SORBI_3001G317300	SORBI_3001G317300	6	10	12	1			1		
SORBI_3001G317400	SORBI_3001G317400	434	2	43	1	1	3			3
SORBI_3001G317600	SORBI_3001G317600		9	1	3	2	2	12		2
SORBI_3001G317800	SORBI_3001G317800	14								
SORBI_3001G318000	SORBI_3001G318000	4	4							
SORBI_3001G318100	SORBI_3001G318100	10	17	17	21	4	9	16	24	3
SORBI_3001G318200	SORBI_3001G318200	19							1	
SORBI_3001G318432	SORBI_3001G318432	20	15	17	15	3	3	23	12	4
SORBI_3001G318500	SORBI_3001G318500	6							2	
SORBI_3001G318700	SORBI_3001G318700	2	1	1						
SORBI_3001G318900	SORBI_3001G318900	53		5	1		3	1		2
SORBI_3001G319100	SORBI_3001G319100	9								
SORBI_3001G319400	SORBI_3001G319400	2	16	19	17	7	20	12	13	3
SORBI_3001G319500	SORBI_3001G319500	41	2	10	5	25	45	34	5	40
SORBI_3001G319800	SORBI_3001G319800			1		2				3
SORBI_3001G319900	SORBI_3001G319900		1	35			17			
SORBI_3001G320000	SORBI_3001G320000		61	21	21	30	9	52	167	11
SORBI_3001G320200	SORBI_3001G320200	38	18	28	17	18	36	15	18	22
SORBI_3001G320300	SORBI_3001G320300		52				3			3
SORBI_3001G320400	SORBI_3001G320400		3		1				2	
SORBI_3001G320500	SORBI_3001G320500		14	1	8			6	2	
SORBI_3001G320700	SORBI_3001G320700	13	42	22	17	3	10	23	6	2
SORBI_3001G320800	SORBI_3001G320800			1						
SORBI_3001G320900	SORBI_3001G320900								2	
SORBI_3001G321000	SORBI_3001G321000	12	11	37	18	32	7	11	33	47
SORBI_3001G321100	SORBI_3001G321100	8	3	31		3	27	1	6	
SORBI_3001G321200	SORBI_3001G321200	4	67	26	29	1	8	37	8	
SORBI_3001G321400	SORBI_3001G321400	3	8	6	7	1		4	7	2
SORBI_3001G321500	SORBI_3001G321500	12	64	42	56	20	29	58	34	23
SORBI_3001G321600	SORBI_3001G321600	33	2	3						
SORBI_3001G321700	SORBI_3001G321700	13		2		1			1	2
SORBI_3001G321800	SORBI_3001G321800	3	8	8	169	4	8	111	7	6
SORBI_3001G321900	SORBI_3001G321900	32	112	73	75	31	163	120	119	21
SORBI_3001G322000	SORBI_3001G322000	18	48	50	30	19	43	37	32	17
SORBI_3001G322100	SORBI_3001G322100	25	8	44	2		2	4		1
SORBI_3001G322200	SORBI_3001G322200		3		17	3		16	5	1
SORBI_3001G322300	SORBI_3001G322300	4	9	11	13	6	19	7	10	3
SORBI_3001G322400	SORBI_3001G322400	1	6	9	20	3	86	14	24	2
SORBI_3001G322500	SORBI_3001G322500	5	23	23	14	4	17	6	2	3
SORBI_3001G322600	SORBI_3001G322600	4	18	21	25	8	14	23	24	5
SORBI_3001G322700	SORBI_3001G322700	6	23	17	10	6	20	22	14	6
SORBI_3001G322832	SORBI_3001G322832	1	16	30	17	15	8	6	17	21
SORBI_3001G322900	SORBI_3001G322900	5	12	11	13	4	10	8	13	5
SORBI_3001G323000	SORBI_3001G323000	27	55	55	47	24	40	52	45	27
SORBI_3001G323300	SORBI_3001G323300	3	8	7	7	1	10	7	10	
SORBI_3001G323400	SORBI_3001G323400		7	4	8		10	4	5	
SORBI_3001G323500	SORBI_3001G323500				2					
SORBI_3001G323701	SORBI_3001G323701	41		15			62			
SORBI_3001G323801	SORBI_3001G323801	11		4	3			4		4
SORBI_3001G323900	SORBI_3001G323900		4	3	5		5	6	1	
SORBI_3001G324000	SORBI_3001G324000						1			
SORBI_3001G324100	SORBI_3001G324100		14	45	15	4	5	29	6	5
SORBI_3001G324400	SORBI_3001G324400	33	38	35	60	8	11	52	17	4
SORBI_3001G324500	SORBI_3001G324500			4	178	6	22	4		2
SORBI_3001G324600	SORBI_3001G324600				44	7		4		2
SORBI_3001G324700	SORBI_3001G324700	2	5	9	8	45	1	4	142	237
SORBI_3001G324800	SORBI_3001G324800	1	204	165	256	528	438	302	101	586
SORBI_3001G324900	SORBI_3001G324900	7	22	20	31	10	8	28	18	11
SORBI_3001G325200	SORBI_3001G325200	23	43	61	18	25	54	41	63	20
