Taxa,Amylose,Cal.g,Fat,IVSD,Prolamin,Protein,Starch
PI597951,0.43171279,-35.06179001,-0.322767315,1.329021417,-0.083574885,-0.187602456,0.635434092
PI597952,0.131015856,-3.48904683,0.06901038,1.07498017,-0.019214072,0.168729058,0.160675371
PI597957,-0.028036997,-1.099223186,-0.029270623,0.238953524,0.159189584,0.51000431,0.548750617
PI597958,1.591638289,71.2089875,0.532439047,-1.794342713,0.364137459,0.527929515,-0.979791483
PI597960,0.816288343,12.83510785,-0.021192732,3.079596549,0.011272628,1.220157961,-0.34208878
PI597961,-0.210575767,-45.67377793,-0.333041019,-0.792834653,0.008732608,-0.343934865,1.01484825
PI597964,0.673852953,-23.95682387,-0.251412614,-2.304923136,-0.07002524,-0.565263673,0.210018272
PI597965,-0.121411308,-57.66614507,-0.691657653,-1.638642231,0.032726233,-0.651837175,0.992836724
PI597966,0.914410501,-32.35468162,-0.3927757,-1.814161637,-0.118578134,-1.354462695,0.720783974
PI597967,0.305788778,-23.0006545,0.060811191,0.232913986,-0.102462684,-0.389273702,0.726156872
PI597968,0.017858851,32.53587085,-0.114088474,-1.610928641,0.397437505,0.826185794,-0.915533303
PI597971,0.59455788,39.70553881,0.212640645,-0.367272902,0.311745286,1.189299859,-2.430762966
PI597972,-0.966527956,15.75179883,-0.022539047,0.395997204,0.097087045,0.482401165,-0.316750534
PI597973,0.296708905,17.73531356,0.178984112,0.59242709,0.08135962,0.43471027,-0.671357354
PI597976,-0.018816257,11.8639417,0.290381329,1.448189818,-0.043407545,-0.105803565,-0.30389033
PI597980,0.112815778,14.15664248,0.413667046,2.441029235,-0.01243925,0.379516714,-1.023554248
PI597982,0.652487645,9.505073444,-0.317382054,-1.811852172,0.103861868,0.005619562,-0.055366519
PI598069,-0.021638595,13.90177033,0.017561314,-1.602331092,0.109379842,0.002009192,-0.262728092
PI598070,0.521800692,43.6543586,0.319335085,-0.428895135,0.173225408,0.771048247,-0.616724728
PI601816,-0.449804013,-45.99210399,-0.19486738,-1.018550644,-0.115190723,-0.955471774,1.910347961
PI607931,-0.064175368,-23.67065862,-0.161525686,0.712803135,-0.129226188,-0.32012782,0.560504817
PI609456,-0.604742532,38.55059752,0.068534674,0.460081478,0.257333132,1.518531946,-1.055232502
PI613536,-0.775895706,-10.52808301,-0.200930767,1.645248066,-0.14426683,0.224686926,-0.716594612
PI629034,0.877219038,-1.461626406,0.051508284,0.06805305,-0.272140775,-0.488727679,1.495600876
PI629040,-0.853370951,-28.73064942,-0.013114841,2.624631772,-0.261978542,-0.592866819,0.550084209
PI629059,0.173844218,-47.51084077,-0.061102576,0.72283497,-0.395793292,-1.182448176,1.841728385
PI641824,-0.096293241,68.92610406,0.801685331,-1.836145452,-0.180639356,-0.177121491,-1.580357878
PI641836,0.362077711,39.02710925,0.428476512,-2.112082735,-0.080187474,-0.802399786,-0.884860689
PI641849,0.434086713,71.11216541,0.771786863,0.247036655,0.094828771,0.545135586,-2.814568187
PI641874,-0.921229113,-11.46292413,-0.395304384,3.285037831,0.106736184,1.140326075,-1.170258042
PI642791,0.352582018,-16.9285301,-0.380658864,-1.445801831,-0.033892854,-0.11232115,0.504742084
PI642793,0.459185293,-3.470121297,-0.176107283,-1.260664812,0.113388171,0.353468828,0.20447926
PI642992,0.461036672,-9.487175848,-0.0190259,0.123733538,-0.193092381,-0.595314755,0.968925565
PI642998,-0.705396407,47.83248869,0.13767245,0.09576664,0.123057198,0.56646529,-5.80048048
PI651492,-0.35211014,-19.79187583,-0.172422468,-1.322226271,0.021502155,-0.653213435,-1.161336415
PI651496,0.407182251,-15.69141067,-0.287763122,-1.986216845,0.388404408,-0.072171121,-2.646535606
PI653616,0.342827461,34.56365966,0.248783371,-3.330805249,0.170584454,-0.109528823,-1.733913893
PI653617,1.031524044,54.42997381,0.279035536,-2.885753803,0.380500449,0.447269889,-1.47830909
PI655970,1.021235883,36.75654404,0.379515392,-0.008998358,0.183635824,0.809461399,-0.339814599
PI655971,-4.080496799,-26.46429121,0.083672138,2.984072886,-0.048506239,-0.221060317,-0.101056071
PI655972,0.045554622,36.9778573,0.606190106,-0.120168419,-0.086962296,-0.35196664,0.494073349
PI655973,-1.050406574,15.50146407,0.386740744,2.563430926,-0.151323109,0.251538494,0.101997327
PI655974,1.037854506,6.838717223,0.207680835,-0.311854087,0.005626943,-0.042058598,0.419392202
PI655975,0.555132951,-24.32915233,-0.259218979,0.859065259,-0.353596634,-0.662769344,1.814374984
PI655976,-0.568500171,-34.83910851,-0.000998005,0.390223539,-0.398604126,-1.434762754,2.719838252
PI655977,-0.025663073,-19.66038088,-0.417009372,-0.8557333,-0.003406153,0.014402381,-0.010024394
PI655978,-0.166515848,-26.47763663,0.062278804,1.025326654,-0.204392551,-0.841295127,0.738120669
PI655980,1.454610567,-16.39345053,-0.450769661,0.65039064,-0.17971165,-0.460345293,-2.536002064
PI655981,0.308771308,17.49152824,0.181319722,0.366960113,0.273824073,0.90119778,-1.377757274
PI655982,1.225394436,0.149539717,-0.272953656,0.457198049,-0.075670926,0.252793182,-0.244736571
PI655983,0.676226877,22.01162312,0.109399833,-3.569355701,0.179514051,-0.600394949,-0.426105071
PI655984,0.32409494,-32.77821309,-0.290455752,0.302463836,-0.044055088,-0.067152367,1.086188158
PI655985,0.343877633,-8.511751698,-0.112742159,0.103849771,-0.123094682,-0.045822664,1.24088482
PI655986,-0.212411696,-4.82222494,0.055547229,1.305926758,-0.187455495,-0.008182011,0.931491496
PI655987,0.367939326,19.56426667,-0.106917606,-0.442945634,0.207876083,0.961377604,0.155431126
