Taxa,Amylose,Cal.g,Fat,IVSD,Prolamin,Protein,Starch
PI533769,-0.843875259,22.55886654,0.195563999,-0.451576772,0.29920258,0.663076299,-0.862189626
PI533776,0.288668671,-19.83351487,-0.165999728,0.426376629,-0.055992562,-0.098549909,1.272226152
PI533785,0.552782872,18.2478692,0.113438778,0.505696833,-0.102770215,0.304235408,0.20201672
PI533788,0.225972782,-6.193244351,-0.290455752,1.577288998,-0.015826661,0.402101105,-2.297134525
PI533789,1.054301948,-9.994291753,-0.122951796,-0.831152399,-0.342970854,-0.769277498,0.578334894
PI533792,0.459583984,-21.50027337,-0.44193107,-0.540122996,-0.137181953,-0.146015389,1.13392339
PI533794,-0.768701025,-29.24005153,-0.450667249,-1.455039694,0.14902735,0.144889978,1.15020057
PI533799,0.873262499,23.18179255,-0.173326338,-1.541644664,0.377113038,1.201337634,-0.442108174
PI533800,0.774349034,13.45075669,-0.111395844,-1.262199294,0.210000752,0.679387248,-1.528985583
PI533807,-0.209246465,-41.94890662,-0.040041143,1.116550556,-0.446027883,-1.523845633,1.348905765
PI533810,-1.278303198,-7.398344215,0.00573357,1.124633687,-0.315047984,-0.56777305,1.467595445
PI533814,-0.705396407,-16.10912041,-0.301226273,-1.453884961,0.152414762,-0.032021091,1.008839827
PI533821,0.125820089,-13.918594,-0.242604839,-0.770762257,0.048925351,-0.1139706,-1.722324678
PI533822,0.203816166,-3.733559846,-0.169287393,-0.974670792,-0.036151128,0.072118049,1.694306071
PI533824,-0.233378131,61.21294693,0.692193685,0.566899004,0.097749277,0.463045111,-2.564240019
PI533830,0.423008405,0.254331009,-0.219101052,0.210085201,-0.109545038,-0.109811774,-0.282077144
PI533831,-0.550300094,-4.162913058,-0.056196925,2.490682751,0.162576995,0.9014671,-0.671485983
PI533833,0.675435569,-28.68407551,-0.645882939,-2.605153699,0.115153238,-0.422229192,-1.027555024
PI533838,-0.50816465,-53.29766627,-0.327184676,2.113203461,-0.23373678,-0.906140259,0.357246925
PI533839,-0.100306028,-5.997558039,-0.271529141,-0.513735678,0.392074468,1.121696898,1.244977
PI533841,-0.135654847,-31.56292519,-0.248719984,2.188142722,-0.11631986,0.112268078,0.248692437
PI533842,-0.038323997,-31.84382407,-0.19756001,1.029945586,-0.11631986,-0.177564949,1.080853791
PI533843,0.172955165,4.456170753,0.168637697,-1.548573062,0.116282375,-0.133650854,1.499601651
PI533845,0.12170366,-40.88765539,-0.321371324,-1.492403809,-0.156001158,-0.741909107,2.424005174
PI533852,-0.764587843,43.02086513,0.500241386,2.322931104,-0.022598738,0.924734001,-1.30779579
PI533855,0.277407784,27.52189859,0.090551421,0.310546966,0.366950804,1.182517308,-0.175389791
PI533856,-0.130115693,-45.17706061,-0.351039932,0.301309103,-0.242783211,-0.619215276,2.062377439
PI533863,-0.061271921,20.16031029,0.021889351,0.811701061,0.116282375,0.698207575,-0.619475898
PI533866,-0.350071231,-16.2878457,-0.029207906,3.229059349,-0.205966495,0.148283204,1.210958522
PI533869,0.448330252,-27.68419193,-0.216408422,-0.784139858,-0.106157626,-0.346947887,0.960830519
PI533871,-0.064437152,-26.53876488,-0.124858995,-0.422708449,-0.27778646,-1.062120291,1.552945328
PI533876,0.183242165,-23.85057714,-0.053504294,1.311700422,-0.13551519,-0.572791804,0.259361172
PI533877,1.39077775,-12.14451651,-0.178711599,1.725094814,-0.229233567,0.304235408,0.113999654
PI533878,-0.463708693,-46.06943283,-0.545200681,2.652999397,-0.241586856,0.235627542,0.758775389
PI533882,0.051885083,-19.51629285,-0.052157979,3.062275555,-0.301498339,-0.409682308,0.66877389
PI533901,0.088285239,-37.70340384,-0.240642094,0.337105824,-0.350051233,-1.244050113,-1.219592259
PI533902,0.248920706,49.83516672,0.661389025,-0.396149591,0.037242781,0.255302559,-0.10470942
PI533903,0.284529554,33.86177178,0.326156564,-0.333794012,-0.009051839,-0.21646029,-0.83018342
PI533910,0.196694397,35.77566831,0.256148179,-0.61208465,0.101603594,0.202605645,-1.846380458
PI533911,1.753987995,40.05755696,0.191525054,-0.868435362,0.204355067,1.038228139,-2.94926097
PI533912,-0.659680718,0.642759326,0.042186087,2.362587162,-0.060857596,0.029118834,-2.366197679
PI533913,0.617670105,51.98484365,0.762362657,-1.625940169,-0.057604733,-1.010678065,-1.016886288
PI533915,-0.232985697,24.30393264,0.001694625,0.514934696,0.371467352,1.722033332,0.238023702
PI533919,0.15396378,81.84745116,0.070356695,-3.05780901,0.783602381,1.792295884,-3.697406033
PI533924,1.036364419,52.55785264,0.4601303,-0.145173143,0.187792361,0.77066042,-2.39378656
PI533927,0.932610579,42.91748598,-0.287763122,-1.839565762,0.475347962,1.074614103,-4.452219056
PI533936,0.215564732,16.46204616,0.157612778,-0.96389249,0.06006828,-0.440364166,-0.610755812
PI533937,-0.415474689,-36.31040884,-0.105095693,-0.854326269,-0.19707698,-1.026387442,2.199659599
PI533938,-0.7087411,-26.20710433,-0.357153438,0.832761365,-0.112568122,-0.253265737,-0.088082844
PI533939,-0.5305174,7.856066021,0.120170354,-0.143263078,-0.002277016,-0.294250973,-0.62747745
PI533940,0.339129787,25.82486182,0.122862984,-0.822246045,0.320656184,0.839987367,0.11133247
PI533943,0.699966108,35.4685716,0.167291382,0.033411061,0.274361565,1.321787724,-0.087372725
PI533948,1.147846279,12.07828185,0.083819846,-1.038181104,0.111765827,0.138616535,0.029983363
PI533949,-0.035158766,7.230229135,0.39885758,2.360197929,-0.156968794,-0.195130587,-0.499452626
PI533954,0.805723186,59.23122252,0.205852451,-1.81344654,0.550664112,1.580136988,-0.589923192
PI533955,0.571183426,7.223866051,-0.186205217,-2.345094726,0.13172596,-0.249045209,-0.097098213
PI533956,1.355168902,61.52812845,0.642540613,-2.740257453,0.104991005,-0.363258836,-0.310082574
PI533957,-0.529726093,2.012496028,-0.330845205,-0.858042766,0.220162985,0.404610482,-0.938204365
PI533961,0.670687722,-35.76330949,-0.388736755,-2.061274486,-0.170518439,-1.474912784,1.014174195
PI533962,0.599470027,-63.81681177,-0.757627093,-3.276053535,0.139994254,-0.752212249,1.1288631
PI533964,0.434086713,25.92528681,0.339619715,-1.662891623,0.143381665,-0.019474207,0.109998878
PI533965,-0.448221397,-8.706779937,-0.134283201,-1.534716267,0.193063696,0.114777455,-1.400960759
PI533967,0.510843562,2.600491614,-0.081776912,0.085374044,0.094828771,0.296707277,-0.024693905
PI533970,0.593930873,-3.845628311,-0.12351268,-1.405386178,0.039501055,-0.443558896,-0.026027497
PI533972,0.425382328,-27.34362023,-0.488364072,-2.158272053,-0.073412652,-0.940415513,0.316705625
PI533976,-0.420318179,90.44082972,0.811224299,-2.901455732,0.30058218,0.381703202,-2.077133464
PI533979,1.26575113,27.06052581,0.303269208,1.859043835,-0.243912348,0.508749622,0.674108257
PI533980,0.004804644,25.27742369,0.211533088,0.412295977,0.085197434,0.403467406,0.560838848
PI533985,0.409556174,-16.60105731,-0.147746352,-0.758735733,-0.105028489,-0.787343525,1.158202122
PI533986,0.258416399,22.80046868,0.19825663,-0.717165347,-0.060992144,-0.266647827,-0.392765273
PI533987,-0.345203947,-67.56223542,-0.682829293,-1.385080551,-0.131385449,-1.158280348,1.856821885
PI533989,-0.052567536,-23.38483806,-0.135629516,0.793225334,-0.12422382,0.016911758,-0.611474347
PI533991,0.352582018,6.816885704,-0.336230466,-1.080906223,0.249520549,0.931579622,-0.143383585
PI533996,0.026563236,27.59467032,0.187486109,-0.457350437,0.14902735,0.459816773,-0.028694681
PI533997,0.593930873,-23.61625217,0.00573357,1.986064458,-0.284561283,-0.484963614,2.274418553
PI534009,0.07606533,-5.922674605,-0.055475651,-0.001736215,-0.069630035,-0.17820757,0.840915764
PI534021,0.11293496,-70.59731588,-0.710032967,1.43763395,-0.338174919,-0.611242676,2.59167284
PI534028,-0.536056554,45.77887044,0.545605926,-0.001230927,0.071116893,0.594068435,0.138004308
PI534037,1.047350198,-9.229280965,-0.052157979,-0.565895333,0.219033848,-0.023238272,0.875480636
PI534046,1.092454739,19.61888861,0.20094926,-0.918088878,0.117411513,-0.009436699,-1.248931281
PI534053,-0.980771495,-46.38070504,-0.033309568,1.096920096,-0.420057731,-1.231503229,2.297089615
PI534054,-0.915884261,32.99433275,-0.041387459,0.129253895,0.386146134,1.601583243,-1.707686899
PI534063,0.297171704,-2.756597019,-0.226198746,-0.291564121,0.130635662,0.670401448,0.770489393
PI534070,-0.021724541,41.42556551,0.216548312,0.913809643,0.015250457,0.652383152,-1.146018301
PI534075,-0.451386628,-7.865538727,0.219797671,1.886757425,-0.193101181,-0.592866819,-0.27940996
PI534079,-0.239150409,-53.86943227,-0.366453751,0.714187781,-0.150671131,-0.709958892,2.199035604
PI534088,0.327240809,-7.354154113,0.010540371,1.87186316,-0.238852348,-0.328377127,0.419503551
PI534092,0.109650547,-19.96747758,-0.357771507,2.190452187,0.085795675,0.76596075,-0.43944099
PI534096,-0.994223726,37.43486377,0.241338713,1.446804176,0.492285018,1.587781671,-2.170443293
PI534097,0.486021514,61.09057979,0.601468228,-0.00738851,0.077289003,0.822114063,-0.147572511
PI534099,-0.285212006,-66.20954628,-0.474900921,0.616551195,-0.346663821,-1.37453771,2.514465097
PI534101,0.023592459,-0.188634031,-0.003690017,-1.576741002,0.018108439,-0.611793021,0.666609919
PI534105,0.423799713,-48.48817436,-0.635112418,-0.207928122,-0.210038236,-0.646818421,1.736981012
PI534108,0.631122336,-17.44520939,-0.010422211,-0.343031876,-0.251816308,-0.976801478,0.227354966
PI534112,0.355747249,-23.78508258,-0.391429385,-0.731022143,-0.150193972,-0.684459074,0.198015944
PI534114,0.051885083,11.02018088,-0.305265218,-2.524322394,0.423407657,0.305490096,-0.863523218
PI534115,-0.375421087,-14.31602496,-0.298533643,-0.149036743,0.088053949,0.311763539,0.611429437
PI534116,0.475550336,103.1638054,0.749144187,-3.172225001,0.560549422,1.133663469,-2.522199358
PI534117,0.572565565,55.46624326,0.33288814,-3.988523757,0.456152632,0.011893004,-1.222259443
PI534123,0.585141056,49.4127124,0.456325675,-0.391806321,0.16741208,0.602595984,-2.83916845
PI534124,0.698383493,74.97197802,0.60215116,-1.908849738,0.150156487,0.419666743,-2.833238474
PI534127,0.142275455,64.51787456,0.136860494,-2.082553675,0.557022661,1.475756946,-2.730729641
PI534128,-1.557634824,2.673263345,-0.058889555,1.899459487,0.2145173,1.218903272,-0.710160148
PI534132,-0.571814814,0.419204401,-0.079915902,0.614005695,0.323716141,1.130434279,-0.864896732
PI534133,-0.080817918,33.15469815,0.547947139,2.37872171,0.004865751,0.490263548,-1.365998937
PI534135,-0.981504351,3.06229989,0.001227716,1.884382395,-0.024842796,0.601768317,-0.734019464
PI534137,-1.197589811,-24.31777165,0.152481916,2.174285926,-0.007922702,-0.153725869,1.330235478
PI534138,-0.891638717,9.427572673,0.099477365,-0.763719024,0.113610456,-0.197312536,0.075838949
PI534139,-0.355296772,-23.31763933,-0.023794099,-0.554637794,-0.172474534,-0.847699729,0.088749176
PI534144,0.179285627,65.1376063,0.511948048,-2.166355183,0.396308368,0.532588702,-4.234843574
PI534145,1.342913338,-37.1397968,-0.425138408,4.071894761,0.208661084,1.277925004,-2.107029239
PI534148,-1.31232943,17.34258886,0.06901038,3.865969679,-0.164872754,0.753413865,-0.922201262
PI534155,0.808375266,41.71820786,-0.13159057,-0.943493003,0.313881362,0.619162204,-2.015746631
PI534157,-0.407864703,2.383631856,-0.021192732,-1.821090035,0.132090294,0.003110185,0.974166438
PI534163,0.508469639,6.56364008,0.296537632,-0.639798241,0.200967655,-0.171291507,-1.763697759
PI534167,-1.151429826,35.24161037,0.296411782,0.592495862,0.058545228,0.398201034,-0.587190081
PI540816,-1.077744028,-17.41336152,-0.219261492,-0.681246935,0.154933824,0.220281783,1.01198992
PI542406,0.912209007,60.38428648,0.262464286,-1.030330632,0.305893094,0.700038365,-4.0603442
PI542718,0.210044711,55.86621577,0.616503913,-2.126795934,0.098565924,-0.155596151,-1.260974019
PI548797,0.731618417,-16.2939606,-0.232564203,-0.455040971,-0.179551536,-0.226497797,1.873007387
PI552856,-0.477499783,27.87120289,0.019196721,-0.308389888,0.381629586,1.501208169,-0.812846726
PI552861,-0.841501335,-43.36941081,-0.087162172,2.051884235,-0.315047984,-0.699515335,2.181067119
PI561071,-1.108172038,-66.09311151,-0.311996794,0.84287885,-0.429090827,-1.474912784,3.47865205
